Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-369.239,-369.239,-369.239,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-422.11,-422.11,-422.11,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-369.417,-369.417,-369.417,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-355.519,-355.519,-355.519,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-370.886,-370.886,-370.886,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-363.374,-363.374,-363.374,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-448.816,-448.816,-448.816,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.027,-300.027,-300.027,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-332.582,-332.582,-332.582,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-343.021,-343.021,-343.021,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.372992,0.372992,0.372992,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-342.934,-342.934,-342.934,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.741747,0.741747,0.741747,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.33,-343.33,-343.33,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.345442,0.345442,0.345442,0,***,***,***,***,1,1,100,0,0,0,0.310756,***
