Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1667","","",-500,"<=",-369.068,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1667","","",-500,"<=",-421.94,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1667","","",-500,"<=",-369.36,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1667","","",-500,"<=",-355.462,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1667","","",-500,"<=",-370.659,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1667","","",-500,"<=",-363.26,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1667","","",-500,"<=",-448.703,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1667","","",-500,"<=",-299.685,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1667","","",-500,"<=",-340.607,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1667","","",-360,"<=",-343.021,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1667","","",0,"<=",0.0169544,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1667","","",-360,"<=",-343.069,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1667","","",0,"<=",0.29246,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1667","","",-360,"<=",-342.945,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1667","","",0,"<=",0.356038,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1667","","",-360,"<=",-343.435,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"1667","","",0,"<=",0.476837,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1667","","",-360,"<=",-343.17,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"1667","","",0,"<=",0.43869,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1667","","",-360,"<=",-343.222,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"1667","","",0,"<=",0.383589,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1667","","",-360,"<=",-342.947,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"1667","","",0,"<=",0.536177,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1667","","",-360,"<=",-342.928,"mV","<=",-300,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"1667","","",0,"<=",0.593397,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1667","","",-300,"<=",-221.443,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"1667","","",0,"<=",0.131394,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1667","","",-300,"<=",-221.712,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"1667","","",0,"<=",0.218286,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1667","","",-300,"<=",-221.668,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"1667","","",0,"<=",0.519223,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1667","","",-300,"<=",-221.348,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"1667","","",0,"<=",0.625187,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1667","","",-300,"<=",-221.786,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"1667","","",0,"<=",0.695123,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1667","","",-300,"<=",-221.39,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"1667","","",0,"<=",0.529819,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1667","","",-300,"<=",-221.657,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"1667","","",0,"<=",0.254313,"ohm","<=",20,"P",0.492695,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1667","","",-300,"<=",-221.703,"mV","<=",-200,"P",0.492695,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"1667","","",0,"<=",0.572204,"ohm","<=",20,"P",0.492695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1667","","",-200,"<=",-5.79167,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"1667","","",-200,"<=",-5.79167,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1667","","",-200,"<=",-10.1669,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"1667","","",-200,"<=",-10.1669,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"1667","","",-200,"<=",-8.25044,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"1667","","",-200,"<=",-8.25044,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"1667","","",-200,"<=",-10.3371,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"1667","","",-200,"<=",-10.3371,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"1667","","",10,"<=",302.694,"nA","<=",500,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"1667","","",-500,"<=",-296.277,"nA","<=",-10,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"1667","","",10,"<=",300.352,"nA","<=",500,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"1667","","",-500,"<=",-302.211,"nA","<=",-10,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"1667","","",300,"<=",503.662,"nA","<=",700,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"1667","","",-700,"<=",-512.676,"nA","<=",-300,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"1667","","",-200,"<=",-1.48972,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"1667","","",-200,"<=",-6.49986,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"1667","","",-200,"<=",0.00433446,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"1667","","",-200,"<=",-9.71061,"nA","<=",200,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"1667","","",500,"<=",719,"nA","<=",1000,"P",0.538025,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"1667","","",-1000,"<=",-795,"nA","<=",-500,"P",0.538025,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,"1667","","",0.01,"<=",0.0228177,"ohm","<=",0.03,"P",0.104711,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,"1667","","",0.5,"<=",1,"","<=",1.5,"P",0.104711,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"",0,1,"VIN3",1,"1667","","",0.01,"<=",0.0234556,"ohm","<=",0.03,"P",0.114066,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"",0,1,"VIN3",1,"1667","","",0.01,"<=",0.0234833,"ohm","<=",0.03,"P",0.114066,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"",0,1,"VIN3",1,"1667","","",0.01,"<=",0.0234953,"ohm","<=",0.03,"P",0.114066,***,"",
1,"Fuse_Burn_Check","","Device_Read_Fuse_Data",1000002,"",0,1,"OFF_PS1600",1,"1667","","",0,"<=",2.28366e+14,"","<=",2.81475e+14,"P",0.17357,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,"1667","","",0,"<=",1,"","<=",1,"P",0.17357,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,"1667","","",-0.3,"<=",0.00737572,"V","<=",1,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,"1667","","",1.6,"<=",1.80128,"V","<=",2.3,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,"1667","","",-0.2,"<=",-0.157494,"V","<=",0.5,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,"1667","","",1.6,"<=",1.80208,"V","<=",2.3,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,"1667","","",-0.3,"<=",-0.158485,"V","<=",0.5,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,"1667","","",1.6,"<=",1.80134,"V","<=",2.3,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,"1667","","",4.85,"<=",4.99975,"V","<=",5.1,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",1,"1667","","",-0.001,"<=",0.000714,"V","<=",0.5,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",1,"1667","","",-0.001,"<=",9.346e-05,"V","<=",0.5,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_OFF_HIGH",30100,"",0,1,"OFF_PS1600",1,"1667","","",1.6,"<=",1.84869,"V","<=",2.3,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_RESET_VOUT_HIGH",30110,"",0,1,"VOUT4",1,"1667","","",4.85,"<=",5,"V","<=",5.1,"P",0.385866,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_RESET_OFF_LOW",30120,"",0,1,"OFF_PS1600",1,"1667","","",0,"<=",0.000771166,"V","<=",0.5,"P",0.385866,***,"",
1,"EN_pullup_resistor","","EN0V_PULLUP_RES",50010,"",0,1,"EN0_PS1600",1,"1667","","",155,"<=",197.791,"Kohm","<=",230,"P",0.0780844,***,"",
1,"EN_pullup_resistor","","EN1V_PULLUP_RES",50020,"",0,1,"EN0_PS1600",1,"1667","","",155,"<=",197.522,"Kohm","<=",230,"P",0.0780844,***,"",
1,"EN_pullup_resistor","","EN0V_Current",50030,"",0,1,"EN0_PS1600",1,"1667","","",-11,"<=",-9.1005,"uA","<=",-7,"P",0.0780844,***,"",
1,"EN_pullup_resistor","","EN1V_Current",50040,"",0,1,"EN0_PS1600",1,"1667","","",-5.5,"<=",-4.05019,"uA","<=",-3,"P",0.0780844,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVDD_VDD_5V_VIN_5V_LOAD_8A",860160,"",0,1,"VDD",1,"1667","","",0,"<=",151.95,"uA","<=",200,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVIN_VDD_5V_VIN_5V_LOAD_8A",860170,"",0,1,"VIN3",1,"1667","","",1,"<=",1.64976,"mA","<=",2,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","LOAD_CURRENT_READBACK_VDD_5V_VIN_5V_LOAD_8A",860180,"",0,1,"VOUT6",1,"1667","","",7.5,"<=",7.99985,"A","<=",8.1,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVDD_VDD_5V_VIN_12V_LOAD_8A",860340,"",0,1,"VDD",1,"1667","","",0,"<=",151.82,"uA","<=",200,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVIN_VDD_5V_VIN_12V_LOAD_8A",860350,"",0,1,"VIN3",1,"1667","","",1,"<=",1.644,"mA","<=",2,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","LOAD_CURRENT_READBACK_VDD_5V_VIN_12V_LOAD_8A",860360,"",0,1,"VOUT6",1,"1667","","",7.5,"<=",8.00053,"A","<=",8.1,"P",0.572832,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVDD_VDD_5V_VIN_20V_LOAD_8A",860520,"",0,1,"VDD",1,"1667","","",0,"<=",151.579,"uA","<=",200,"P",0.572832,***,"",
