Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-373.05,-367.418,-369.751,2.19634,15.1768,10.5859,19.7677,10.5859,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-429.282,-417.273,-421.883,4.4781,7.44364,5.81477,5.81477,9.07251,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-372.775,-366.856,-369.679,2.25007,14.8144,10.3225,19.3062,10.3225,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.243,-355.462,-357.341,1.93345,17.2404,9.88574,24.595,9.88574,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-375.212,-370.659,-372.321,1.92606,17.3065,12.5162,22.0968,12.5162,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-365.65,-360.016,-362.691,2.15566,15.4631,9.69395,21.2323,9.69395,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-459.801,-447.28,-450.251,5.36554,6.21248,3.09066,3.09066,9.33431,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.685,-295.417,-298.194,1.62403,30.7876,20.1544,41.4208,20.1544,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-340.607,-331.387,-333.436,4.01728,8.29749,2.77436,13.8206,2.77436,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.9,-339.939,-343.708,2.38416,4.19435,2.27786,2.27786,6.11083,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0169544,0.536177,0.37935,0.208493,15.9878,0.606496,0.606496,31.369,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.757,-340.534,-343.809,2.12159,4.71345,2.54383,2.54383,6.88307,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.29246,0.974867,0.704448,0.252828,13.1842,0.928757,0.928757,25.4396,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-346.109,-340.672,-343.925,2.17792,4.59155,2.46035,2.46035,6.72274,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.34968,0.743866,0.516679,0.183151,18.1999,0.94035,0.94035,35.4594,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.961,-340.639,-344.12,2.20561,4.5339,2.39988,2.39988,6.66792,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0762944,0.90917,0.5277,0.306347,10.8809,0.574185,0.574185,21.1876,5,5,100,0,0,0,0.492695,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.839,-340.927,-343.993,2.02452,4.93943,2.63558,2.63558,7.24328,5,5,100,0,0,0,0.492695,***
