Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"2010","","",-500,"<=",-372.481,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"2010","","",-500,"<=",-428.656,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"2010","","",-500,"<=",-372.149,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"2010","","",-500,"<=",-359.503,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"2010","","",-500,"<=",-374.757,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"2010","","",-500,"<=",-365.081,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"2010","","",-500,"<=",-459.005,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"2010","","",-500,"<=",-297.921,"mV","<=",-200,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"2010","","",-500,"<=",-337.648,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"2010","","",-360,"<=",-340.067,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"2010","","",0,"<=",0.43869,"ohm","<=",20,"P",0.495185,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"2010","","",-360,"<=",-339.926,"mV","<=",-300,"P",0.495185,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"2010","","",0,"<=",0.705719,"ohm","<=",20,"P",0.495185,***,"",
