Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-372.481,-367.247,-369.489,2.02403,16.4688,11.444,21.4936,11.444,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.656,-417.102,-421.553,4.29408,7.76263,6.08958,6.08958,9.43568,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-372.149,-366.742,-369.394,2.0226,16.4804,11.4365,21.5244,11.4365,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-359.503,-354.779,-356.783,1.86584,17.865,10.1443,25.5858,10.1443,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-374.757,-370.488,-372.116,1.76373,18.8993,13.6294,24.1692,13.6294,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-365.081,-359.902,-362.44,1.97267,16.8976,10.5509,23.2442,10.5509,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-459.005,-447.166,-449.989,5.06443,6.58185,3.29165,3.29165,9.87204,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.685,-295.189,-298.012,1.70014,29.4094,19.2165,39.6023,19.2165,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-337.648,-330.59,-332.286,3.01958,11.0391,3.56412,18.514,3.56412,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.434,-340.067,-343.427,2.15196,4.64692,2.56719,2.56719,6.72665,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0741756,0.665453,0.36494,0.261966,12.7243,0.46436,0.46436,24.9842,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.831,-339.926,-343.561,2.39362,4.17778,2.28926,2.28926,6.0663,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0148356,0.705719,0.446743,0.291854,11.4212,0.510236,0.510236,22.3322,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.453,-340.317,-343.687,2.06867,4.83403,2.62864,2.62864,7.03943,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.161066,1.0554,0.695123,0.371215,8.97952,0.624187,0.624187,17.3348,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.758,-340.187,-343.763,2.23843,4.46741,2.41797,2.41797,6.51685,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.315772,0.58492,0.420041,0.104032,32.0413,1.34586,1.34586,62.7367,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.743,-340.199,-343.697,2.2414,4.46149,2.42447,2.42447,6.49851,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.260671,0.695122,0.391642,0.176068,18.9321,0.741459,0.741459,37.1226,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-346.186,-340.492,-343.99,2.31891,4.31237,2.30138,2.30138,6.32337,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.385709,0.642141,0.55737,0.104663,31.8482,1.77513,1.77513,61.9213,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-345.514,-339.861,-343.414,2.26984,4.4056,2.43566,2.43566,6.37553,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.00847667,0.271267,0.113169,0.102315,32.5792,0.368696,0.368696,64.7896,5,5,100,0,0,0,0.495185,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-345.785,-339.531,-343.443,2.50406,3.99352,2.20403,2.20403,5.783,5,5,100,0,0,0,0.495185,***
