Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-372.311,-366.679,-369.608,2.36616,14.0875,9.8061,18.369,9.8061,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.94,-416.817,-422.632,4.94443,6.74159,5.21583,5.21583,8.26736,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-372.092,-366.173,-369.484,2.35843,14.1337,9.8206,18.4468,9.8206,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-359.162,-354.381,-356.771,2.09523,15.9092,9.03187,22.7865,9.03187,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-374.586,-370.09,-372.158,2.05894,16.1896,11.682,20.6971,11.682,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-364.91,-359.276,-362.491,2.26799,14.6973,9.18454,20.21,9.18454,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-458.891,-446.369,-450.941,6.15806,5.41296,2.65552,2.65552,8.17039,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.173,-294.791,-297.636,1.48024,33.7782,21.9866,45.5699,21.9866,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-335.201,-327.232,-328.722,3.17635,10.4942,3.01411,17.9743,3.01411,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.043,-339.796,-342.58,2.30689,4.33484,2.51717,2.51717,6.15252,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.105963,0.603993,0.364515,0.20008,16.66,0.607281,0.607281,32.7127,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.331,-339.87,-342.696,2.31588,4.31802,2.49061,2.49061,6.14543,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.211928,1.03845,0.587746,0.33824,9.85494,0.57922,0.57922,19.1307,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.287,-339.75,-342.672,2.36593,4.22667,2.44132,2.44132,6.01203,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.218286,0.894336,0.511099,0.258543,12.8928,0.658947,0.658947,25.1266,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.963,-339.626,-342.563,2.40476,4.15841,2.41705,2.41705,5.89977,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.485314,0.752343,0.640021,0.0943399,35.3332,2.2614,2.2614,68.4051,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.057,-340.004,-342.837,2.32783,4.29585,2.45765,2.45765,6.13405,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00211889,0.981226,0.309415,0.358983,9.28548,0.287306,0.287306,18.2837,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-344.944,-340.057,-342.703,2.14704,4.65758,2.68538,2.68538,6.62979,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.156826,0.915527,0.61353,0.26841,12.4188,0.76193,0.76193,24.0757,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-345.015,-339.668,-342.568,2.30357,4.34108,2.52249,2.52249,6.15967,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0105967,0.383589,0.169189,0.141636,23.5345,0.398178,0.398178,46.6708,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-345.282,-339.619,-342.609,2.4411,4.09652,2.37474,2.37474,5.8183,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.220404,0.623068,0.419264,0.159482,20.901,0.876304,0.876304,40.9258,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-221.003,-219.782,-220.352,0.404635,41.1894,16.7659,65.6129,16.7659,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.199212,0.485314,0.33202,0.137238,24.2887,0.806434,0.806434,47.771,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-221.226,-219.984,-220.335,0.47115,35.3744,14.3868,56.3621,14.3868,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0635778,0.379351,0.206983,0.11971,27.8451,0.576346,0.576346,55.1139,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-221.334,-219.698,-220.389,0.539054,30.9184,12.6079,49.2288,12.6079,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.161064,0.813802,0.427387,0.246685,13.5125,0.577508,0.577508,26.4475,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-221.195,-219.921,-220.46,0.422254,39.4707,16.1516,62.7898,16.1516,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.326369,0.773537,0.50792,0.190318,17.5145,0.889598,0.889598,34.1394,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-221.01,-220.219,-220.483,0.309064,53.9262,22.0919,85.7605,22.0919,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.00211889,1.01725,0.656976,0.363734,9.16421,0.602067,0.602067,17.7264,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-220.982,-219.946,-220.287,0.395839,42.1046,17.0833,67.126,17.0833,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.0953667,0.716316,0.362749,0.212307,15.7006,0.569537,0.569537,30.8316,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-221.092,-219.978,-220.377,0.44283,37.6367,15.3384,59.9349,15.3384,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.116561,0.786252,0.426681,0.253594,13.1444,0.560846,0.560846,25.7279,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-221.119,-219.994,-220.374,0.423405,39.3634,16.0401,62.6867,16.0401,6,6,100,0,0,0,0.458792,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",0,0.699361,0.398071,0.24334,13.6982,0.545287,0.545287,26.8512,6,6,100,0,0,0,0.458792,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-6.80727,-5.58855,-6.33332,0.446943,149.161,144.438,144.438,153.885,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-6.80727,-5.58855,-6.33332,0.446943,149.161,144.438,144.438,153.885,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-10.5227,-9.30275,-9.94663,0.493541,135.078,128.36,128.36,141.796,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-10.5227,-9.30275,-9.94663,0.493541,135.078,128.36,128.36,141.796,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-9.9905,-7.73866,-8.91576,0.813716,81.9286,78.2764,78.2764,85.5809,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-9.9905,-7.73866,-8.91576,0.813716,81.9286,78.2764,78.2764,85.5809,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-11.7161,-9.8774,-10.5669,0.616078,108.211,102.494,102.494,113.929,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-11.7161,-9.8774,-10.5669,0.616078,108.211,102.494,102.494,113.929,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",295.775,303.145,299.91,3.08008,26.5144,21.6542,31.3747,21.6542,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-302.731,-297.474,-299.717,1.93798,42.1402,34.4489,34.4489,49.8315,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",297.317,302.683,299.914,1.75166,46.6224,38.0754,55.1694,38.0754,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.942,-298.161,-300.096,1.80167,45.3283,36.985,36.985,53.6716,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",495.602,514.34,503.875,8.3769,7.95839,7.80418,8.1126,7.80418,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-522.79,-505.643,-512.659,8.08053,8.25029,7.72807,7.72807,8.77251,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-1.23638,-0.628344,-0.873247,0.222984,298.975,297.67,297.67,300.281,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-6.70254,-5.43581,-6.04384,0.486004,137.173,133.028,133.028,141.318,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",-0.967569,-0.353735,-0.762958,0.235525,283.055,281.975,281.975,284.135,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-10.9383,-8.53409,-9.82144,1.00521,66.3211,63.0642,63.0642,69.5779,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",722,757,736.667,15.9708,5.21785,4.93956,4.93956,5.49614,6,6,100,0,0,0,0.522531,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-834,-808,-821.5,12.0955,6.88964,4.9192,4.9192,8.86008,6,6,100,0,0,0,0.522531,***
