Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"424","","",-500,"<=",-375.838,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"424","","",-500,"<=",-433.55,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"424","","",-500,"<=",-375.45,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"424","","",-500,"<=",-361.268,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"424","","",-500,"<=",-376.863,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"424","","",-500,"<=",-368.268,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"424","","",-500,"<=",-458.834,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"424","","",-500,"<=",-295.417,"mV","<=",-200,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"424","","",-500,"<=",-352.674,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"424","","",-360,"<=",-340.231,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"424","","",0,"<=",0.29458,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"424","","",-360,"<=",-340.425,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"424","","",0,"<=",0.17378,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"424","","",-360,"<=",-340.708,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"424","","",0,"<=",0.29246,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"424","","",-360,"<=",-340.273,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"424","","",0,"<=",0.0551011,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"424","","",-360,"<=",-340.67,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"424","","",0,"<=",0.239478,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"424","","",-360,"<=",-341.087,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"424","","",0,"<=",0.917647,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"424","","",-360,"<=",-340.582,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"424","","",0,"<=",0.627306,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"424","","",-360,"<=",-340.542,"mV","<=",-300,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"424","","",0,"<=",0.256432,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"424","","",-300,"<=",-227.432,"mV","<=",-200,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"424","","",0,"<=",0.737508,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"424","","",-300,"<=",-227.35,"mV","<=",-200,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"424","","",0,"<=",0.457763,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"424","","",-300,"<=",-227.375,"mV","<=",-200,"P",1.41636,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"424","","",0,"<=",0.0826522,"ohm","<=",20,"P",1.41636,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"424","","",-300,"<=",-227.318,"mV","<=",-200,"P",1.41636,***,"",
