Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.838,-375.838,-375.838,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-433.55,-433.55,-433.55,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-375.45,-375.45,-375.45,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-361.268,-361.268,-361.268,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.863,-376.863,-376.863,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-368.268,-368.268,-368.268,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-458.834,-458.834,-458.834,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-295.417,-295.417,-295.417,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-352.674,-352.674,-352.674,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-340.231,-340.231,-340.231,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.29458,0.29458,0.29458,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-340.425,-340.425,-340.425,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.17378,0.17378,0.17378,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-340.708,-340.708,-340.708,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.29246,0.29246,0.29246,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-340.273,-340.273,-340.273,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0551011,0.0551011,0.0551011,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-340.67,-340.67,-340.67,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.239478,0.239478,0.239478,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-341.087,-341.087,-341.087,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.917647,0.917647,0.917647,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-340.582,-340.582,-340.582,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.627306,0.627306,0.627306,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-340.542,-340.542,-340.542,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.256432,0.256432,0.256432,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.432,-227.432,-227.432,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.737508,0.737508,0.737508,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.35,-227.35,-227.35,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.457763,0.457763,0.457763,0,***,***,***,1,0,0,1.41636,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.375,-227.375,-227.375,0,***,***,***,1,0,0,1.41636,***
