Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"424",1,1,0,"2",2,1693,""
2,"425",1,1,0,"2",2,437,""
3,"426",1,1,0,"2",2,422,""
4,"426",1,1,0,"2",2,328,""
5,"427",1,1,0,"2",2,324,""
6,"427",1,1,0,"2",2,327,""
7,"427",1,1,0,"2",2,325,""
8,"428",1,1,0,"2",2,324,""
9,"429",1,1,0,"2",2,325,""
10,"430",1,1,0,"2",2,325,""
11,"430",1,1,0,"2",2,327,""
12,"431",1,1,0,"2",2,325,""
13,"432",1,1,0,"2",2,334,""
14,"433",1,1,0,"2",2,325,""
15,"434",1,1,0,"2",2,322,""
16,"435",1,1,0,"2",2,324,""
17,"436",1,1,0,"2",2,329,""
18,"437",1,1,0,"2",2,324,""
19,"438",1,1,0,"2",2,325,""
20,"439",1,1,0,"2",2,323,""
