Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"424","","",-500,"<=",-374.984,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"424","","",-500,"<=",-432.355,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"424","","",-500,"<=",-368.848,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"424","","",-500,"<=",-360.3,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"424","","",-500,"<=",-376.066,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"424","","",-500,"<=",-367.472,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"424","","",-500,"<=",-457.752,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"424","","",-500,"<=",-294.677,"mV","<=",-200,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"424","","",-500,"<=",-165.479,"mV","<=",-300,"F",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"424","","",-360,"<=",-339.645,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"424","","",0,"<=",0.214047,"ohm","<=",20,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"424","","",-360,"<=",-339.548,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"424","","",0,"<=",0.404781,"ohm","<=",20,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"424","","",-360,"<=",-339.825,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"424","","",0,"<=",0.402662,"ohm","<=",20,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"424","","",-360,"<=",-339.878,"mV","<=",-300,"P",0.324548,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"424","","",0,"<=",0.0762944,"ohm","<=",20,"P",0.324548,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"424","","",-360,"<=",-339.733,"mV","<=",-300,"P",0.324548,***,"",
