Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-377.203,-357.804,-367.071,7.51376,2.97548,5.89713,2.97548,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.762,-412.492,-425.554,7.70355,3.2213,3.2213,5.43272,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-370.157,-353.822,-361.625,6.54714,3.13752,7.04505,3.13752,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.715,-344.079,-353.137,7.18028,2.46682,6.81786,2.46682,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.855,-359.617,-368.012,6.93824,3.26751,6.34108,3.26751,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-370.659,-352.787,-361.154,6.62047,3.07903,6.99074,3.07903,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-471.071,-443.979,-455.433,7.76122,1.91409,1.91409,6.67563,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.222,-292.685,-297.116,2.51429,12.8752,26.8976,12.8752,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-165.479,-157.511,-159.437,1.51906,-30.8443,74.7311,-30.8443,20,20,0,0.324548,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.112,-226.322,-332.6,25.3604,0.360146,0.360146,0.428484,20,1,0,0.324548,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.02755,0.682407,0.25834,0.163995,0.525095,0.525095,40.1264,20,0,0,0.324548,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-342.136,-226.341,-332.749,25.3779,0.357934,0.357934,0.430154,20,1,0,0.324548,***
