Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1","","",-500,"<=",-358.031,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-413.118,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1","","",-500,"<=",-358.375,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1","","",-500,"<=",-344.364,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-359.959,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1","","",-500,"<=",-353.186,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1","","",-500,"<=",-444.605,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-299.401,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1","","",-500,"<=",-347.153,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1","","",-360,"<=",-342.461,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1","","",0,"<=",0.567966,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1","","",-360,"<=",-342.562,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1","","",0,"<=",0.553131,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1","","",-360,"<=",-342.661,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1","","",0,"<=",1.19103,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1","","",-360,"<=",-342.461,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1","","",0,"<=",0.739627,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1","","",-360,"<=",-342.474,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1","","",0,"<=",0.20557,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1","","",-360,"<=",-342.838,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1","","",0,"<=",0.748104,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1","","",-360,"<=",-342.396,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1","","",0,"<=",0.718436,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1","","",-360,"<=",-342.581,"mV","<=",-300,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1","","",0,"<=",0.582801,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1","","",-300,"<=",-226.707,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1","","",0,"<=",0.504388,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1","","",-300,"<=",-227.179,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1","","",0,"<=",0.262791,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1","","",-300,"<=",-227.074,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1","","",0,"<=",0.0805333,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1","","",-300,"<=",-226.978,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1","","",0,"<=",0.64638,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1","","",-300,"<=",-227.095,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1","","",0,"<=",1.15077,"ohm","<=",20,"P",0.497982,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1","","",-300,"<=",-226.986,"mV","<=",-200,"P",0.497982,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"1","","",0,"<=",0.135633,"ohm","<=",20,"P",0.497982,***,"",
