Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"424",1,1,0,"39",6,31846,""
2,"462",1,1,0,"39",6,31288,""
3,"538",1,1,0,"39",6,31302,""
4,"500",1,1,0,"39",6,31358,""
5,"576",1,1,0,"39",6,31306,""
6,"614",1,1,0,"39",6,31308,""
7,"671",1,1,0,"39",6,31300,""
8,"690",1,1,0,"39",6,31294,""
9,"709",1,1,0,"10",3,31362,""
10,"670",1,1,0,"39",6,31315,""
11,"728",1,1,0,"39",6,31287,""
12,"747",1,1,0,"39",6,31328,""
13,"537",1,1,0,"39",6,31319,""
14,"575",1,1,0,"39",6,31320,""
15,"347",1,1,0,"39",6,31291,""
16,"366",1,1,0,"39",6,31310,""
17,"385",1,1,0,"39",6,31305,""
18,"404",1,1,0,"39",6,31309,""
19,"423",1,1,0,"39",6,31326,""
20,"442",1,1,0,"39",6,31281,""
21,"1787",1,1,0,"2",2,321,""
22,"1787",1,1,0,"2",2,326,""
23,"1844",1,1,0,"69",4,31305,""
24,"2111",1,1,0,"70",4,31297,""
