Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-377.26,-357.804,-367.456,7.50159,2.99741,5.8896,2.99741,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.819,-412.662,-425.542,7.37953,3.36327,3.36327,5.67072,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.703,-357.465,-367.33,7.56258,2.96769,5.84764,2.96769,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.772,-343.339,-353.53,7.38356,2.41661,6.61245,2.41661,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.968,-359.617,-368.427,7.12826,3.19981,6.15264,3.19981,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-370.431,-351.991,-361.398,6.63185,3.08603,6.96647,3.08603,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-471.128,-441.303,-454.797,8.27919,1.81993,1.81993,6.2324,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.165,-292.969,-296.856,2.3078,13.9897,29.3417,13.9897,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-338.16,-333.322,-336.842,1.2986,9.45677,41.8807,9.45677,24,0,0,0.264169,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.831,-226.81,-329.746,31.8797,0.311024,0.316334,0.311024,24,2,0,0.264169,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0169533,0.934601,0.344286,0.280561,0.409045,0.409045,23.3529,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-343.575,-332.346,-339.465,4.04322,1.69295,1.69295,3.2536,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.154707,1.24825,0.619214,0.283044,0.729233,0.729233,22.8243,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.26,-332.272,-339.439,4.04855,1.6929,1.6929,3.24714,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0445044,0.979106,0.492154,0.235331,0.697109,0.697109,27.6318,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-343.71,-332.495,-339.633,4.09002,1.65987,1.65987,3.23008,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0233122,0.968509,0.546966,0.237771,0.766796,0.766796,27.2714,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-343.348,-332.085,-339.464,4.03012,1.69854,1.69854,3.26409,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00423889,0.661213,0.240634,0.184677,0.434333,0.434333,35.6647,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-343.174,-332.39,-339.499,3.99383,1.71107,1.71107,3.29665,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.03179,1.03845,0.605439,0.297076,0.679332,0.679332,21.7616,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-343.431,-332.218,-339.336,4.0469,1.70202,1.70202,3.24003,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0233111,0.489553,0.230231,0.150351,0.51043,0.51043,43.8303,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-342.918,-332.19,-339.331,3.99062,1.7265,1.7265,3.28525,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.0339078,0.824398,0.470575,0.227782,0.688635,0.688635,28.5792,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.373,-225.906,-226.711,0.37609,23.6743,64.957,23.6743,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0339078,0.998179,0.326272,0.216728,0.501815,0.501815,30.2587,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.213,-225.845,-226.699,0.387957,22.9395,62.9806,22.9395,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0148344,0.603993,0.212698,0.137102,0.517127,0.517127,48.1083,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.392,-226.093,-226.702,0.341262,26.0814,71.5952,26.0814,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.0805322,1.01513,0.447745,0.302177,0.49391,0.49391,21.5682,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-227.381,-226.091,-226.793,0.338205,26.407,72.1525,26.407,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.182258,0.981224,0.593783,0.264688,0.747776,0.747776,24.4391,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-227.427,-226.295,-226.807,0.319332,27.9824,76.4023,27.9824,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.326369,1.33091,0.707357,0.236509,0.996943,0.996943,27.1909,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.249,-225.935,-226.671,0.346958,25.6232,70.4499,25.6232,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.165303,0.854069,0.444277,0.198069,0.74768,0.74768,32.9106,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-227.23,-225.967,-226.64,0.368678,24.0858,66.3274,24.0858,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.0127156,0.845591,0.445433,0.214303,0.692841,0.692841,30.4158,22,0,0,0.264502,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.295,-226.063,-226.743,0.350733,25.4164,69.6228,25.4164,22,0,0,0.264502,***
"CONTINUITY","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.267029,0.913408,0.597058,0.164999,1.20618,1.20618,39.198,22,0,0,0.264502,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-9.44785,-4.4206,-6.86036,1.53012,42.075,42.075,45.064,22,0,0,0.417642,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-9.44785,-4.4206,-6.86036,1.53012,42.075,42.075,45.064,22,0,0,0.417642,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-12.6069,-8.99775,-10.7422,1.22997,51.2906,51.2906,57.1131,22,0,0,0.417642,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-12.6069,-8.99775,-10.7422,1.22997,51.2906,51.2906,57.1131,22,0,0,0.417642,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-11.8329,-6.81746,-9.20654,1.88202,33.7923,33.7923,37.0535,22,0,0,0.417642,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-11.8329,-6.81746,-9.20654,1.88202,33.7923,33.7923,37.0535,22,0,0,0.417642,***
