Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10030,"",0,1,"EN0_PS1600",0,"","","",-500,"<=",-368.954,"mV","<=",-300,"P",1445.89,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",0,"","","",-500,"<=",-428.371,"mV","<=",-300,"P",0.849,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10050,"",0,1,"FCB_PS1600",0,"","","",-500,"<=",-369.303,"mV","<=",-300,"P",0.008,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10090,"",0,1,"ISEN_PS1600",0,"","","",-500,"<=",-355.918,"mV","<=",-300,"P",0.016,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",0,"","","",-500,"<=",-371.295,"mV","<=",-300,"P",0.009,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10040,"",0,1,"OFF_PS1600",0,"","","",-500,"<=",-363.213,"mV","<=",-300,"P",0.005,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10010,"",0,1,"SS_PS1600",0,"","","",-500,"<=",-455.83,"mV","<=",-300,"P",0.009,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",0,"","","",-500,"<=",-296.962,"mV","<=",-200,"P",0.009,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10060,"",0,1,"GND_PS1600",0,"","","",-500,"<=",-370.374,"mV","<=",-300,"P",0.008,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10180,"",0,1,"VIN1",0,"","","",-360,"<=",-341.894,"mV","<=",-300,"P",0.046,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10190,"",0,1,"VIN2",0,"","","",-360,"<=",-341.951,"mV","<=",-300,"P",0.01,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10200,"",0,1,"VIN3",0,"","","",-360,"<=",-341.923,"mV","<=",-300,"P",0.021,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10210,"",0,1,"VIN4_RS1",0,"","","",-360,"<=",-342.175,"mV","<=",-300,"P",0.017,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10220,"",0,1,"VIN4_RS2",0,"","","",-360,"<=",-342.175,"mV","<=",-300,"P",0.008,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10230,"",0,1,"VIN5_RS1",0,"","","",-360,"<=",-342.159,"mV","<=",-300,"P",0.009,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10240,"",0,1,"VIN5_RS2",0,"","","",-360,"<=",-342.073,"mV","<=",-300,"P",0.007,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10250,"",0,1,"VIN6",0,"","","",-360,"<=",-342.215,"mV","<=",-300,"P",0.006,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10100,"",0,1,"VOUT1",0,"","","",-300,"<=",-229.176,"mV","<=",-200,"P",0.009,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10110,"",0,1,"VOUT2_RS1",0,"","","",-300,"<=",-229.107,"mV","<=",-200,"P",0.008,2054.44,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10120,"",0,1,"VOUT2_RS2",0,"","","",-300,"<=",-229.153,"mV","<=",-200,"P",0.019,2054.44,"",
