Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.954,-368.67,-368.821,0.143163,3,0,780.402,987.521
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.371,-428.03,-428.2,0.170738,3,0,0.320667,987.521
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-369.303,-369.076,-369.171,0.118493,3,0,0.0386667,987.521
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-355.918,-355.576,-355.747,0.170738,3,0,0.0396667,987.521
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-371.295,-371.068,-371.163,0.118477,3,0,0.0343333,987.521
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-363.213,-363.043,-363.099,0.0985753,3,0,0.0313333,987.521
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-455.83,-455.375,-455.603,0.227675,3,0,0.0353333,987.521
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-296.962,-296.677,-296.81,0.143236,3,0,0.0323333,987.521
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-370.716,-359.276,-366.789,6.50856,3,0,0.0293333,987.521
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-341.894,-341.127,-341.564,0.394122,3,0,0.0483333,987.521
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-341.951,-341.436,-341.697,0.257551,3,0,0.031,987.521
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-342.066,-341.923,-341.975,0.0790189,3,0,0.039,987.521
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-342.175,-341.686,-341.977,0.257381,3,0,0.0333333,987.521
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-342.175,-341.816,-341.992,0.179375,3,0,0.0303333,987.521
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-342.159,-341.52,-341.855,0.320618,3,0,0.0373333,987.521
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-342.073,-341.774,-341.935,0.150962,3,0,0.118667,987.521
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-342.215,-341.782,-341.979,0.219074,3,0,0.019,987.521
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-229.176,-228.355,-228.675,0.438882,3,0,0.0256667,987.521
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-229.107,-228.357,-228.624,0.418701,3,0,0.02,987.521
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-229.153,-228.065,-228.553,0.552165,3,0,0.0306667,987.521
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-229.044,-228.321,-228.579,0.403314,3,0,0.0936667,987.521
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-228.985,-228.214,-228.539,0.399235,3,0,0.013,987.521
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-228.895,-228.189,-228.523,0.354507,3,0,0.0106667,987.521
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-228.991,-228.222,-228.621,0.385129,3,0,0.00866667,987.521
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-228.958,-228.392,-228.584,0.324341,3,0,0.0116667,987.521
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT47",480010,"Parametric","",65,200,"ohms",69662.6,69696.8,69674.1,19.6879,0,3,53562.6,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT46",480020,"Parametric","",65,200,"ohms",69617.2,69674,69651.3,30.0482,0,3,0.045,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT45",480030,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.412333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT44",480040,"Parametric","",65,200,"ohms",69662.6,69696.8,69677.8,17.4138,0,3,0.039,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT43",480050,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.034,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT42",480060,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,1.245,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT41",480070,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.022,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT40",480080,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.0196667,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT39",480090,"Parametric","",65,200,"ohms",79.6,91,87.2,6.58179,3,0,0.0223333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT38",480100,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.02,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT37",480110,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.024,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT36",480120,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.02,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT35",480130,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.02,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT34",480140,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.0213333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT33",480150,"Parametric","",65,200,"ohms",68.2,79.6,75.8,6.58179,3,0,0.0196667,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT32",480160,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.0303333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT31",480170,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.019,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT30",480180,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.0193333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT29",480190,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.0193333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT28",480200,"Parametric","",65,200,"ohms",68.2,79.6,75.8,6.58179,3,0,0.019,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT27",480210,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.0193333,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT26",480220,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.019,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT25",480230,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.019,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT24",480240,"Parametric","",65,200,"ohms",79.6,79.6,79.6,1.64093e-14,3,0,0.0196667,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT23",480250,"Parametric","",65,200,"ohms",79.6,79.6,79.6,0,3,0,0.033,53581
"EFUSE_RESISTANCE_MEASUREMENT","BANKA_EFUSE_RESISTANCE_BIT22",480260,"Parametric","",65,200,"ohms",79.6,91,83.4,6.58179,3,0,0.0233333,53581
