Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"P1","","",-500,"<=",-368.727,"mV","<=",-300,"P",1273.23,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"P1","","",-500,"<=",-428.086,"mV","<=",-300,"P",0.707,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"P1","","",-500,"<=",-369.133,"mV","<=",-300,"P",0.011,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"P1","","",-500,"<=",-355.861,"mV","<=",-300,"P",0.021,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"P1","","",-500,"<=",-371.295,"mV","<=",-300,"P",0.009,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"P1","","",-500,"<=",-363.099,"mV","<=",-300,"P",0.01,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"P1","","",-500,"<=",-455.546,"mV","<=",-300,"P",0.007,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"P1","","",-500,"<=",-296.848,"mV","<=",-200,"P",0.007,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"P1","","",-500,"<=",-370.545,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10180,"",0,1,"VIN1",1,"P1","","",-360,"<=",-341.469,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10190,"",0,1,"VIN2",1,"P1","","",-360,"<=",-341.9,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10200,"",0,1,"VIN3",1,"P1","","",-360,"<=",-341.599,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"P1","","",-360,"<=",-341.993,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"P1","","",-360,"<=",-341.961,"mV","<=",-300,"P",0.006,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"P1","","",-360,"<=",-341.94,"mV","<=",-300,"P",0.007,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"P1","","",-360,"<=",-341.89,"mV","<=",-300,"P",0.008,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10250,"",0,1,"VIN6",1,"P1","","",-360,"<=",-342.03,"mV","<=",-300,"P",0.032,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10100,"",0,1,"VOUT1",1,"P1","","",-300,"<=",-228.544,"mV","<=",-200,"P",0.016,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"P1","","",-300,"<=",-228.682,"mV","<=",-200,"P",0.009,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"P1","","",-300,"<=",-228.603,"mV","<=",-200,"P",0.009,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"P1","","",-300,"<=",-228.72,"mV","<=",-200,"P",0.009,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"P1","","",-300,"<=",-228.539,"mV","<=",-200,"P",0.015,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10150,"",0,1,"VOUT4",1,"P1","","",-300,"<=",-228.355,"mV","<=",-200,"P",0.007,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10160,"",0,1,"VOUT5",1,"P1","","",-300,"<=",-228.466,"mV","<=",-200,"P",0.007,1280.02,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10170,"",0,1,"VOUT6",1,"P1","","",-300,"<=",-228.287,"mV","<=",-200,"P",0.006,1280.02,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"P1","","",-200,"<=",-5.47892,"nA","<=",200,"P",1012.11,1016.04,"",
