Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.727,-368.727,-368.727,0,1,0,1273.23,1280.02
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.086,-428.086,-428.086,0,1,0,0.707,1280.02
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-369.133,-369.133,-369.133,0,1,0,0.011,1280.02
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-355.861,-355.861,-355.861,0,1,0,0.021,1280.02
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-371.295,-371.295,-371.295,0,1,0,0.009,1280.02
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-363.099,-363.099,-363.099,0,1,0,0.01,1280.02
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-455.546,-455.546,-455.546,0,1,0,0.007,1280.02
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-296.848,-296.848,-296.848,0,1,0,0.007,1280.02
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-370.545,-370.545,-370.545,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-341.469,-341.469,-341.469,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-341.9,-341.9,-341.9,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-341.599,-341.599,-341.599,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-341.993,-341.993,-341.993,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-341.961,-341.961,-341.961,0,1,0,0.006,1280.02
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-341.94,-341.94,-341.94,0,1,0,0.007,1280.02
