Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10030,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"EN0_PS1600",0,"","","",-500,"<=",-371.173,"mV","<=",-300,"P",187.016,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10020,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"FAULTB_PS1600",0,"","","",-500,"<=",-426.436,"mV","<=",-300,"P",0.014,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10050,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"FCB_PS1600",0,"","","",-500,"<=",-371.751,"mV","<=",-300,"P",0.035,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10090,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"ISEN_PS1600",0,"","","",-500,"<=",-358.934,"mV","<=",-300,"P",0.022,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10080,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"ITRIP_PS1600",0,"","","",-500,"<=",-373.174,"mV","<=",-300,"P",0.889,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10040,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"OFF_PS1600",0,"","","",-500,"<=",-365.604,"mV","<=",-300,"P",0.029,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10010,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"SS_PS1600",0,"","","",-500,"<=",-458.505,"mV","<=",-300,"P",0.009,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10070,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VBIAS_PS1600",0,"","","",-500,"<=",-299.295,"mV","<=",-200,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10060,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"GND_PS1600",0,"","","",-500,"<=",-361.666,"mV","<=",-300,"P",0.009,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10180,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN1",0,"","","",-360,"<=",-345.358,"mV","<=",-300,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10190,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN2",0,"","","",-360,"<=",-345.76,"mV","<=",-300,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10200,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN3",0,"","","",-360,"<=",-346.245,"mV","<=",-300,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10210,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN4_RS1",0,"","","",-360,"<=",-346.378,"mV","<=",-300,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10220,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN4_RS2",0,"","","",-360,"<=",-346.01,"mV","<=",-300,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10230,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN5_RS1",0,"","","",-360,"<=",-345.917,"mV","<=",-300,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10240,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN5_RS2",0,"","","",-360,"<=",-346.136,"mV","<=",-300,"P",0.07,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10250,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VIN6",0,"","","",-360,"<=",-346.022,"mV","<=",-300,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10100,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT1",0,"","","",-300,"<=",-226.219,"mV","<=",-200,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10110,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT2_RS1",0,"","","",-300,"<=",-226.332,"mV","<=",-200,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10120,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT2_RS2",0,"","","",-300,"<=",-226.156,"mV","<=",-200,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10130,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT3_RS1",0,"","","",-300,"<=",-226.555,"mV","<=",-200,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10140,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT3_RS2",0,"","","",-300,"<=",-226.387,"mV","<=",-200,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10150,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT4",0,"","","",-300,"<=",-226.2,"mV","<=",-200,"P",0.006,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10160,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT5",0,"","","",-300,"<=",-226.486,"mV","<=",-200,"P",0.007,210.218,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10170,"_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",0,1,"VOUT6",0,"","","",-300,"<=",-226.604,"mV","<=",-200,"P",0.005,210.218,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE0",1200020,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-318.981,"uA","<=",-90,"P",1240.54,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE1",1200030,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-308.598,"uA","<=",-90,"P",0.08,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE2",1200040,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-298.17,"uA","<=",-90,"P",0.094,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE3",1200050,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-287.882,"uA","<=",-90,"P",0.083,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE4",1200060,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-277.767,"uA","<=",-90,"P",0.087,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE5",1200070,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-267.505,"uA","<=",-90,"P",0.078,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE6",1200080,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-257.142,"uA","<=",-90,"P",0.068,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE7",1200090,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-246.658,"uA","<=",-90,"P",0.065,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE8",1200100,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-236.346,"uA","<=",-90,"P",0.061,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE9",1200110,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-225.882,"uA","<=",-90,"P",0.061,1263.49,"",
0,"SNS_gain_Trim_25PIMAX","CROW_ARPS10X0X5_TM.Crow_tml.SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE10",1200120,"_rdi_burst_CONTINUITY_bk2",0,1,"ISEN_PS1600",0,"","","",-350,"<=",-215.605,"uA","<=",-90,"P",0.061,1263.49,"",
