Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-371.173,-371.173,-371.173,0,1,0,187.016,210.218
"CONTINUITY","CONTINUITY",10020,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-426.436,-426.436,-426.436,0,1,0,0.014,210.218
"CONTINUITY","CONTINUITY",10050,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-371.751,-371.751,-371.751,0,1,0,0.035,210.218
"CONTINUITY","CONTINUITY",10090,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-358.934,-358.934,-358.934,0,1,0,0.022,210.218
"CONTINUITY","CONTINUITY",10080,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-373.174,-373.174,-373.174,0,1,0,0.889,210.218
"CONTINUITY","CONTINUITY",10040,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-365.604,-365.604,-365.604,0,1,0,0.029,210.218
"CONTINUITY","CONTINUITY",10010,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-458.505,-458.505,-458.505,0,1,0,0.009,210.218
"CONTINUITY","CONTINUITY",10070,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-200,"mV",-299.295,-299.295,-299.295,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10060,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-500,-300,"mV",-361.666,-361.666,-361.666,0,1,0,0.009,210.218
"CONTINUITY","CONTINUITY",10180,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-345.358,-345.358,-345.358,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10190,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-345.76,-345.76,-345.76,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10200,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-346.245,-346.245,-346.245,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10210,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-346.378,-346.378,-346.378,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10220,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-346.01,-346.01,-346.01,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10230,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-345.917,-345.917,-345.917,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10240,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-346.136,-346.136,-346.136,0,1,0,0.07,210.218
"CONTINUITY","CONTINUITY",10250,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-360,-300,"mV",-346.022,-346.022,-346.022,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10100,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.219,-226.219,-226.219,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10110,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.332,-226.332,-226.332,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10120,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.156,-226.156,-226.156,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10130,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.555,-226.555,-226.555,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10140,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.387,-226.387,-226.387,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10150,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.2,-226.2,-226.2,0,1,0,0.006,210.218
"CONTINUITY","CONTINUITY",10160,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.486,-226.486,-226.486,0,1,0,0.007,210.218
"CONTINUITY","CONTINUITY",10170,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",-300,-200,"mV",-226.604,-226.604,-226.604,0,1,0,0.005,210.218
