Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10030,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"EN0_PS1600",0,"","","",-500,"<=",-371.002,"mV","<=",-300,"P",170.61,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10020,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"FAULTB_PS1600",0,"","","",-500,"<=",-426.038,"mV","<=",-300,"P",0.077,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10050,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"FCB_PS1600",0,"","","",-500,"<=",-371.637,"mV","<=",-300,"P",0.723,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10090,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"ISEN_PS1600",0,"","","",-500,"<=",-358.82,"mV","<=",-300,"P",0.008,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10080,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"ITRIP_PS1600",0,"","","",-500,"<=",-373.117,"mV","<=",-300,"P",0.021,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10040,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"OFF_PS1600",0,"","","",-500,"<=",-365.547,"mV","<=",-300,"P",0.01,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10010,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"SS_PS1600",0,"","","",-500,"<=",-458.278,"mV","<=",-300,"P",0.026,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10070,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"VBIAS_PS1600",0,"","","",-500,"<=",-299.352,"mV","<=",-200,"P",0.008,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10060,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"GND_PS1600",0,"","","",-500,"<=",-360.528,"mV","<=",-300,"P",0.01,189.491,"",
0,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10180,"_rdi_burst_Post_ISENSE_Gain_bk1_mp",0,1,"VIN1",0,"","","",-360,"<=",-345.129,"mV","<=",-300,"P",0.007,189.491,"",
