Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-371.002,-371.002,-371.002,0,1,0,170.61,189.491
"CONTINUITY","CONTINUITY",10020,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-426.038,-426.038,-426.038,0,1,0,0.077,189.491
"CONTINUITY","CONTINUITY",10050,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-371.637,-371.637,-371.637,0,1,0,0.723,189.491
"CONTINUITY","CONTINUITY",10090,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-358.82,-358.82,-358.82,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10080,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-373.117,-373.117,-373.117,0,1,0,0.021,189.491
"CONTINUITY","CONTINUITY",10040,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-365.547,-365.547,-365.547,0,1,0,0.01,189.491
"CONTINUITY","CONTINUITY",10010,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-458.278,-458.278,-458.278,0,1,0,0.026,189.491
"CONTINUITY","CONTINUITY",10070,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-200,"mV",-299.352,-299.352,-299.352,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10060,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-360.528,-360.528,-360.528,0,1,0,0.01,189.491
"CONTINUITY","CONTINUITY",10180,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.129,-345.129,-345.129,0,1,0,0.007,189.491
"CONTINUITY","CONTINUITY",10190,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.831,-345.831,-345.831,0,1,0,0.01,189.491
"CONTINUITY","CONTINUITY",10200,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.837,-345.837,-345.837,0,1,0,0.018,189.491
"CONTINUITY","CONTINUITY",10210,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.734,-345.734,-345.734,0,1,0,0.021,189.491
"CONTINUITY","CONTINUITY",10220,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.833,-345.833,-345.833,0,1,0,0.01,189.491
"CONTINUITY","CONTINUITY",10230,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.592,-345.592,-345.592,0,1,0,0.007,189.491
"CONTINUITY","CONTINUITY",10240,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.814,-345.814,-345.814,0,1,0,0.007,189.491
"CONTINUITY","CONTINUITY",10250,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.827,-345.827,-345.827,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10100,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.072,-226.072,-226.072,0,1,0,0.017,189.491
"CONTINUITY","CONTINUITY",10110,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-225.893,-225.893,-225.893,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10120,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.219,-226.219,-226.219,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10130,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-225.882,-225.882,-225.882,0,1,0,0.007,189.491
"CONTINUITY","CONTINUITY",10140,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.086,-226.086,-226.086,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10150,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.341,-226.341,-226.341,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10160,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.093,-226.093,-226.093,0,1,0,0.008,189.491
"CONTINUITY","CONTINUITY",10170,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.444,-226.444,-226.444,0,1,0,0.008,189.491
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE0",1200020,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-318.946,-318.946,-318.946,0,1,0,1229.7,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE1",1200030,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-308.568,-308.568,-308.568,0,1,0,0.049,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE2",1200040,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-298.165,-298.165,-298.165,0,1,0,0.072,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE3",1200050,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-287.923,-287.923,-287.923,0,1,0,0.079,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE4",1200060,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-277.706,-277.706,-277.706,0,1,0,0.08,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE5",1200070,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-267.45,-267.45,-267.45,0,1,0,0.06,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE6",1200080,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-257.046,-257.046,-257.046,0,1,0,0.088,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE7",1200090,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-246.678,-246.678,-246.678,0,1,0,0.081,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE8",1200100,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-236.356,-236.356,-236.356,0,1,0,0.096,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE9",1200110,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-225.912,-225.912,-225.912,0,1,0,0.088,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE10",1200120,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-215.655,-215.655,-215.655,0,1,0,0.089,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE11",1200130,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-205.257,-205.257,-205.257,0,1,0,0.087,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE12",1200140,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-195.293,-195.293,-195.293,0,1,0,0.092,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE13",1200150,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-184.865,-184.865,-184.865,0,1,0,0.077,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE14",1200160,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-174.471,-174.471,-174.471,0,1,0,0.085,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_25PIMAX_CODE15",1200170,"Parametric","_rdi_burst_CONTINUITY_bk2",-350,-90,"uA",-164.189,-164.189,-164.189,0,1,0,0.086,1248.44
"SNS_gain_Trim_25PIMAX","SNS_GAIN_TRIM",1200010,"Parametric","_rdi_burst_CONTINUITY_bk2",0,31,"Code",7,7,7,0,1,0,0.046,1248.44
"SNS_gain_Trim_25PIMAX","BEST_MEAS_25pIMAX",1200340,"Parametric","_rdi_burst_CONTINUITY_bk2",-260,-240,"uA",-246.678,-246.678,-246.678,0,1,0,0.041,1248.44
"SNS_gain_Trim_25PIMAX","ISNS_GAIN",1200350,"Parametric","_rdi_burst_CONTINUITY_bk2",3500,4500,"GAIN",4053.86,4053.86,4053.86,0,1,0,0.054,1248.44
"EFUSE_BURN","EFUSE_BURN_DONE",850010,"Parametric","_rdi_burst_SNS_gain_Trim_25PIMAX_bk113_mp",1,1,"",1,1,1,0,1,0,1747.06,1767.5
"Post_ISENSE_Gain","POST_SNS_GAIN_25PIMAX_CODE",820040,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-210,-190,"uA",-246.8,-246.795,-246.797,0.00356849,0,2,99.0945,118.27
"Post_ISENSE_Gain","gain",820050,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",3700,4300,"GAIN",4051.87,4051.95,4051.91,0.0585874,2,0,0.2975,118.27
