Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-371.116,-371.116,-371.116,0,1,0,334.861,357.962
"CONTINUITY","CONTINUITY",10020,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-426.038,-426.038,-426.038,0,1,0,0.049,357.962
"CONTINUITY","CONTINUITY",10050,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-371.751,-371.751,-371.751,0,1,0,0.059,357.962
"CONTINUITY","CONTINUITY",10090,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-358.991,-358.991,-358.991,0,1,0,0.046,357.962
"CONTINUITY","CONTINUITY",10080,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-373.174,-373.174,-373.174,0,1,0,0.063,357.962
"CONTINUITY","CONTINUITY",10040,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-365.604,-365.604,-365.604,0,1,0,0.048,357.962
"CONTINUITY","CONTINUITY",10010,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-458.562,-458.562,-458.562,0,1,0,0.584,357.962
"CONTINUITY","CONTINUITY",10070,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-200,"mV",-299.352,-299.352,-299.352,0,1,0,0.008,357.962
"CONTINUITY","CONTINUITY",10060,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-500,-300,"mV",-361.666,-361.666,-361.666,0,1,0,0.018,357.962
"CONTINUITY","CONTINUITY",10180,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.047,-345.047,-345.047,0,1,0,0.021,357.962
"CONTINUITY","CONTINUITY",10190,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.871,-345.871,-345.871,0,1,0,0.007,357.962
"CONTINUITY","CONTINUITY",10200,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.823,-345.823,-345.823,0,1,0,0.021,357.962
"CONTINUITY","CONTINUITY",10210,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-346.17,-346.17,-346.17,0,1,0,0.005,357.962
"CONTINUITY","CONTINUITY",10220,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.886,-345.886,-345.886,0,1,0,0.005,357.962
"CONTINUITY","CONTINUITY",10230,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-346.046,-346.046,-346.046,0,1,0,0.004,357.962
"CONTINUITY","CONTINUITY",10240,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-346.022,-346.022,-346.022,0,1,0,0.005,357.962
"CONTINUITY","CONTINUITY",10250,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-360,-300,"mV",-345.827,-345.827,-345.827,0,1,0,0.004,357.962
"CONTINUITY","CONTINUITY",10100,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.748,-226.748,-226.748,0,1,0,0.005,357.962
"CONTINUITY","CONTINUITY",10110,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.625,-226.625,-226.625,0,1,0,0.004,357.962
"CONTINUITY","CONTINUITY",10120,"Parametric","_rdi_burst_Post_ISENSE_Gain_bk1_mp",-300,-200,"mV",-226.507,-226.507,-226.507,0,1,0,0.005,357.962
