Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1419","","",-700,"<=",-367.646,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1419","","",-700,"<=",-428.826,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1419","","",-700,"<=",-367.311,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1419","","",-700,"<=",-352.958,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1419","","",-700,"<=",-369.303,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1419","","",-700,"<=",-362.132,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1419","","",-700,"<=",-452.927,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1419","","",-700,"<=",-298.385,"mV","<=",-200,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1419","","",-700,"<=",-351.934,"mV","<=",-300,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1419","","",-700,"<=",-342.564,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1419","","",-700,"<=",-342.56,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1419","","",-700,"<=",-342.777,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1419","","",-700,"<=",-342.937,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1419","","",-700,"<=",-342.821,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1419","","",-700,"<=",-342.89,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1419","","",-700,"<=",-342.51,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1419","","",-700,"<=",-342.905,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1419","","",-700,"<=",-230.6,"mV","<=",-100,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1419","","",-700,"<=",-230.982,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1419","","",-700,"<=",-230.751,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1419","","",-700,"<=",-230.597,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1419","","",-700,"<=",-230.686,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1419","","",-700,"<=",-230.627,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1419","","",-700,"<=",-230.686,"mV","<=",-120,"P",0.135865,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1419","","",-700,"<=",-230.497,"mV","<=",-120,"P",0.135865,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1419","","",-9999,"<=",-0.963596,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"FAULTB_PS1600",1,"1419","","",-9999,"<=",-4.92033,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"ITRIP_PS1600",1,"1419","","",-9999,"<=",7.07981,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1419","","",-9999,"<=",-9.0521,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"OFF_PS1600",1,"1419","","",-9999,"<=",0.987283,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"OFF_PS1600",1,"1419","","",-9999,"<=",-7.35943,"nA","<=",9999,"P",0.224141,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"SS_PS1600",1,"1419","","",-9999,"<=",5.57228,"nA","<=",9999,"P",0.224141,***,"",
