Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"082","","",-700,"<=",-370.831,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"082","","",-700,"<=",-424.102,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"082","","",-700,"<=",-371.295,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"082","","",-700,"<=",-358.137,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"082","","",-700,"<=",-372.832,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"082","","",-700,"<=",-364.636,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"082","","",-700,"<=",-449.854,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"082","","",-700,"<=",-298.954,"mV","<=",-200,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"082","","",-700,"<=",-372.708,"mV","<=",-300,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"082","","",-700,"<=",-346.624,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"082","","",-700,"<=",-347.641,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"082","","",-700,"<=",-347.332,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"082","","",-700,"<=",-347.506,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"082","","",-700,"<=",-347.67,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"082","","",-700,"<=",-347.651,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"082","","",-700,"<=",-347.521,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"082","","",-700,"<=",-347.521,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"082","","",-700,"<=",-231.781,"mV","<=",-100,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"082","","",-700,"<=",-231.71,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"082","","",-700,"<=",-231.953,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"082","","",-700,"<=",-231.834,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"082","","",-700,"<=",-231.865,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"082","","",-700,"<=",-232.1,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"082","","",-700,"<=",-231.819,"mV","<=",-120,"P",0.307627,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"082","","",-700,"<=",-231.867,"mV","<=",-120,"P",0.307627,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"082","","",-9999,"<=",-0.354221,"nA","<=",9999,"P",0.311189,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"FAULTB_PS1600",1,"082","","",-9999,"<=",-4.20939,"nA","<=",9999,"P",0.311189,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"ITRIP_PS1600",1,"082","","",-9999,"<=",4.48736,"nA","<=",9999,"P",0.311189,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"082","","",-9999,"<=",-8.59461,"nA","<=",9999,"P",0.311189,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"OFF_PS1600",1,"082","","",-9999,"<=",0.884923,"nA","<=",9999,"P",0.311189,***,"",
