Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-700,-300,"mV",-374.245,-367.93,-370.812,2.25434,0.307627,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-700,-300,"mV",-428.428,-423.533,-425.345,1.90965,0.307627,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-700,-300,"mV",-374.54,-368.45,-371.305,2.15487,0.307627,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-700,-300,"mV",-361.325,-355.576,-358.356,2.29826,0.307627,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-700,-300,"mV",-376.304,-369.873,-373.098,2.45936,0.307627,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-700,-300,"mV",-367.539,-361.904,-364.608,1.95243,0.307627,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-700,-300,"mV",-456.058,-444.048,-448.981,4.37877,0.307627,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-700,-200,"mV",-300.946,-297.531,-298.916,1.16014,0.307627,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-700,-300,"mV",-372.708,-352.56,-356.24,8.07282,0.307627,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-700,-120,"mV",-347.301,-345.243,-346.121,0.751987,0.307627,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-700,-120,"mV",-347.641,-345.648,-346.706,0.798337,0.307627,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-700,-120,"mV",-347.895,-346.046,-346.811,0.712705,0.307627,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-700,-120,"mV",-347.677,-346.111,-346.871,0.608772,0.307627,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-700,-120,"mV",-347.67,-345.959,-346.784,0.705755,0.307627,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-700,-120,"mV",-347.651,-345.793,-346.709,0.765574,0.307627,***
