Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-500,"<=",-365.142,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-425.81,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-500,"<=",-365.945,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-500,"<=",-351.08,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-367.311,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-500,"<=",-359.627,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-500,"<=",-454.749,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-297.417,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-500,"<=",-360.699,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-360,"<=",-340.87,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-360,"<=",-341.303,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-360,"<=",-341.686,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1","","",-360,"<=",-341.278,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1","","",-360,"<=",-341.276,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1","","",-360,"<=",-341.557,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1","","",-360,"<=",-341.547,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1","","",-360,"<=",-341.597,"mV","<=",-300,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1","","",-300,"<=",-227.64,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1","","",-300,"<=",-227.646,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1","","",-300,"<=",-227.663,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1","","",-300,"<=",-227.558,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1","","",-300,"<=",-227.636,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1","","",-300,"<=",-227.453,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1","","",-300,"<=",-227.758,"mV","<=",-200,"P",0.403777,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1","","",-300,"<=",-227.797,"mV","<=",-200,"P",0.403777,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1","","",-9999,"<=",-0.100314,"nA","<=",9999,"P",0.386922,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"FAULTB_PS1600",1,"1","","",-9999,"<=",-5.37736,"nA","<=",9999,"P",0.386922,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"ITRIP_PS1600",1,"1","","",-9999,"<=",9.01143,"nA","<=",9999,"P",0.386922,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1","","",-9999,"<=",-10.0687,"nA","<=",9999,"P",0.386922,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"OFF_PS1600",1,"1","","",-9999,"<=",0.731383,"nA","<=",9999,"P",0.386922,***,"",
