Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-367.361,-367.361,-367.361,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-426.948,-426.948,-426.948,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-367.653,-367.653,-367.653,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-352.104,-352.104,-352.104,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-368.051,-368.051,-368.051,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-362.018,-362.018,-362.018,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-454.35,-454.35,-454.35,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-297.019,-297.019,-297.019,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-366.618,-366.618,-366.618,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-341.219,-341.219,-341.219,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-341.368,-341.368,-341.368,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-341.337,-341.337,-341.337,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-341.589,-341.589,-341.589,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-341.585,-341.585,-341.585,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-341.619,-341.619,-341.619,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-341.499,-341.499,-341.499,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-341.587,-341.587,-341.587,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.657,-227.657,-227.657,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.713,-227.713,-227.713,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.816,-227.816,-227.816,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-227.547,-227.547,-227.547,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-227.415,-227.415,-227.415,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.436,-227.436,-227.436,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-227.896,-227.896,-227.896,0,1,0,1.30608,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.776,-227.776,-227.776,0,1,0,1.30608,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-9999,9999,"nA",-0.0495331,758,189.15,271.528,1,0,0.783582,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"Parametric","",-9999,9999,"nA",-518.695,-4.97111,-129.123,192.678,1,0,0.783582,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20011,"Parametric","",-9999,9999,"nA",-823,-823,-823,0,1,0,0.783582,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.03,"ohm",0.0221233,0.0221233,0.0221233,0,1,0,0.387969,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",1,1,1,0,1,0,0.387969,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.001,1,"V",0.00119972,0.00119972,0.00119972,0,1,0,0.745191,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",1.91231,1.91231,1.91231,0,1,0,0.745191,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.001,0.5,"V",0.00115967,0.00115967,0.00115967,0,1,0,0.745191,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",1.91305,1.91305,1.91305,0,1,0,0.745191,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.001,0.5,"V",0.00112534,0.00112534,0.00112534,0,1,0,0.745191,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",1.9122,1.9122,1.9122,0,1,0,0.745191,***
