Device,Device ID,Wafer,Site,P/F,Time
1,"1878",0,1,1,585289
2,"1859",0,1,1,70275
3,"1840",0,1,1,63918
4,"1821",0,1,1,63604
5,"1650",0,1,0,182
6,"1650",0,1,1,60619
7,"1631",0,1,1,57188
8,"1612",0,1,1,57304
9,"1593",0,1,1,57141
10,"1574",0,1,1,57079
11,"1555",0,1,0,11322
12,"1536",0,1,1,56990
13,"1537",0,1,0,42631
14,"1689",0,1,0,11296
15,"1670",0,1,1,57543
16,"1651",0,1,0,180
17,"1651",0,1,1,56987
18,"1632",0,1,1,57446
19,"1613",0,1,1,57003
20,"1594",0,1,1,56520
21,"1575",0,1,1,56786
22,"1556",0,1,0,11145
23,"1841",0,1,1,56686
24,"1822",0,1,1,56724
25,"1803",0,1,1,56527
26,"1784",0,1,1,56791
27,"1765",0,1,0,11140
28,"1746",0,1,1,56666
29,"1727",0,1,1,56596
30,"1708",0,1,1,56547
31,"1993",0,1,0,481
32,"1974",0,1,0,11130
33,"1955",0,1,0,11141
34,"1936",0,1,0,5164
35,"1917",0,1,0,11131
36,"1898",0,1,1,56798
37,"1879",0,1,0,42011
38,"1860",0,1,0,54413
39,"2088",0,1,0,11119
40,"2069",0,1,0,11113
41,"2050",0,1,0,11479
