Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-500,"<=",-372.311,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-428.542,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-500,"<=",-372.491,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-500,"<=",-359.902,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-374.54,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-500,"<=",-365.262,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-500,"<=",-460.782,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-296.563,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-500,"<=",-366.219,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-360,"<=",-342.909,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-360,"<=",-343.47,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-360,"<=",-343.586,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1","","",-360,"<=",-343.483,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1","","",-360,"<=",-343.174,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1","","",-360,"<=",-343.544,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1","","",-360,"<=",-343.328,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1","","",-360,"<=",-343.62,"mV","<=",-300,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1","","",-300,"<=",-226.736,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1","","",-300,"<=",-226.881,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1","","",-300,"<=",-226.54,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1","","",-300,"<=",-226.753,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1","","",-300,"<=",-226.942,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1","","",-300,"<=",-226.917,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1","","",-300,"<=",-226.753,"mV","<=",-200,"P",1.30842,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1","","",-300,"<=",-226.473,"mV","<=",-200,"P",1.30842,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1","","",-200,"<=",-4.41251,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"1","","",-200,"<=",-4.41251,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1","","",-200,"<=",-8.95044,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"1","","",-200,"<=",-8.95044,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"1","","",-200,"<=",-6.43819,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"1","","",-200,"<=",-6.43819,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"1","","",-200,"<=",-9.36137,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"1","","",-200,"<=",-9.36137,"nA","<=",200,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"1","","",10,"<=",298.362,"nA","<=",500,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"1","","",-500,"<=",-299.307,"nA","<=",-10,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"1","","",10,"<=",298.587,"nA","<=",500,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"1","","",-500,"<=",-301.701,"nA","<=",-10,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"1","","",300,"<=",510.982,"nA","<=",700,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"1","","",-700,"<=",-514.536,"nA","<=",-300,"P",1.02454,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"1","","",-200,"<=",0.396903,"nA","<=",200,"P",1.02454,***,"",
