Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-372.311,-372.311,-372.311,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.542,-428.542,-428.542,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-372.491,-372.491,-372.491,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-359.902,-359.902,-359.902,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-374.54,-374.54,-374.54,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-365.262,-365.262,-365.262,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-460.782,-460.782,-460.782,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-296.563,-296.563,-296.563,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-366.219,-366.219,-366.219,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.909,-342.909,-342.909,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-343.47,-343.47,-343.47,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.586,-343.586,-343.586,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-343.483,-343.483,-343.483,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-343.174,-343.174,-343.174,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-343.544,-343.544,-343.544,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-343.328,-343.328,-343.328,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-343.62,-343.62,-343.62,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-226.736,-226.736,-226.736,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-226.881,-226.881,-226.881,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-226.54,-226.54,-226.54,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-226.753,-226.753,-226.753,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-226.942,-226.942,-226.942,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-226.917,-226.917,-226.917,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-226.753,-226.753,-226.753,0,1,0,1.30842,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-226.473,-226.473,-226.473,0,1,0,1.30842,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-4.41251,-4.41251,-4.41251,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-4.41251,-4.41251,-4.41251,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-8.95044,-8.95044,-8.95044,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-8.95044,-8.95044,-8.95044,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-6.43819,-6.43819,-6.43819,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-6.43819,-6.43819,-6.43819,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-9.36137,-9.36137,-9.36137,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-9.36137,-9.36137,-9.36137,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",298.362,298.362,298.362,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-299.307,-299.307,-299.307,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",298.587,298.587,298.587,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-301.701,-301.701,-301.701,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",510.982,510.982,510.982,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-514.536,-514.536,-514.536,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",0.396903,0.396903,0.396903,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-4.15826,-4.15826,-4.15826,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",-1.07937,-1.07937,-1.07937,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-6.60426,-6.60426,-6.60426,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",747,747,747,0,1,0,1.02454,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-822,-822,-822,0,1,0,1.02454,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.03,"ohm",0.0223517,0.0223517,0.0223517,0,1,0,0.428327,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",1,1,1,0,1,0,0.428327,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.001,1,"V",0.000597,0.000597,0.000597,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",1.94618,1.94618,1.94618,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.001,0.5,"V",0.000789642,0.000789642,0.000789642,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",1.94669,1.94669,1.94669,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.001,0.5,"V",0.000738144,0.000738144,0.000738144,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",1.94623,1.94623,1.94623,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_VOUT_HIGH",30070,"Parametric","",4.85,5.1,"V",4.99997,4.99997,4.99997,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_OFF_LOW",30080,"Parametric","",-0.001,0.5,"V",0.000714269,0.000714269,0.000714269,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_VOUT_LOW",30090,"Parametric","",-0.001,0.5,"V",1.9073e-05,1.9073e-05,1.9073e-05,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_OFF_HIGH",30100,"Parametric","",1.6,2.3,"V",1.99023,1.99023,1.99023,0,1,0,0.769187,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_VOUT_HIGH",30110,"Parametric","",4.85,5.1,"V",4.99998,4.99998,4.99998,0,1,0,0.769187,***
