Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,1,67964
2,"2",0,1,1,56845
3,"3",0,1,1,57171
4,"4",0,1,1,56796
5,"5",0,1,1,57025
6,"6",0,1,1,57008
7,"7",0,1,0,26982
8,"8",0,1,0,58217
9,"9",0,1,0,54090
10,"10",0,1,1,57046
11,"11",0,1,1,56670
12,"12",0,1,0,54736
13,"13",0,1,1,56657
14,"14",0,1,1,56887
15,"15",0,1,0,11371
16,"16",0,1,1,57218
17,"17",0,1,1,56840
18,"18",0,1,1,57024
19,"19",0,1,0,54711
20,"20",0,1,0,11448
21,"21",0,1,1,57877
22,"22",0,1,1,57326
23,"23",0,1,1,57717
24,"24",0,1,1,57669
25,"25",0,1,0,13060
26,"25",0,1,1,57264
27,"25",0,1,1,57481
28,"26",0,1,1,57296
29,"27",0,1,1,57581
30,"28",0,1,1,57772
31,"29",0,1,1,57464
32,"30",0,1,1,57229
33,"31",0,1,1,57366
34,"32",0,1,0,57578
35,"33",0,1,0,184
36,"33",0,1,1,57430
