Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-9.9999e+07,-363.891,-2.77811e+06,1.66664e+07,35,1,0.130115,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-432.981,-418.582,-423.545,3.27818,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-372.889,-364.807,-367.747,1.74684,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.699,-350.738,-354.814,2.29118,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-374.824,-364.693,-369.744,2.06353,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-366.742,-358.148,-361.743,1.75177,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-463.514,-443.251,-452.612,5.2042,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.466,-293.888,-296.269,1.74075,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-358.65,-344.193,-353.693,3.30191,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-344.698,-331.15,-341.567,3.95381,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.322,-332.087,-342.315,3.95195,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.081,-331.736,-342.323,4.01632,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.247,-331.886,-342.382,3.96608,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.444,-331.642,-342.369,4.03193,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-345.217,-332.069,-342.362,3.92433,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-345.467,-331.762,-342.335,3.98817,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-345.392,-331.577,-342.356,4.04253,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-225.809,-224.501,-225.026,0.253491,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-225.927,-224.464,-225.036,0.312097,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-225.754,-224.442,-225.038,0.288152,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-225.624,-224.634,-225.006,0.246434,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-225.904,-224.558,-225.074,0.315429,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-225.941,-224.44,-225.005,0.314885,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-225.952,-224.524,-225.046,0.291235,35,0,0.130149,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-225.513,-224.642,-225.065,0.241446,35,0,0.130149,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-6.79924,-4.92033,-5.7662,0.444742,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-6.79924,-4.92033,-5.7662,0.444742,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-11.4921,-8.49295,-9.92061,0.638996,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-11.4921,-8.49295,-9.92061,0.638996,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-9.71372,-6.89881,-8.06133,0.585594,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-9.71372,-6.89881,-8.06133,0.585594,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-11.3023,-8.69737,-10.2589,0.735633,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-11.3023,-8.69737,-10.2589,0.735633,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",295.84,305.63,300.101,2.16906,35,0,0.417278,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-304.244,-296.266,-299.919,1.7859,35,0,0.417278,***
