Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.781,-368.328,-371.855,2.31198,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.022,-423.249,-431.522,4.68468,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.19,-367.937,-372.02,2.36025,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.544,-355.178,-359.338,2.51608,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.012,-369.759,-373.789,2.57651,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-370.157,-362.246,-366.033,2.44828,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-471.711,-453.269,-462.981,6.79492,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.832,-296.108,-297.986,1.50416,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-367.699,-351.991,-354.169,4.51035,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-343.857,-331.884,-340.009,4.51606,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.378,-332.706,-340.511,4.52242,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.122,-332.83,-340.348,4.39279,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.227,-332.594,-340.401,4.48848,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-344.194,-332.663,-340.39,4.42262,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-344.416,-332.811,-340.395,4.42906,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-344.322,-332.64,-340.416,4.53589,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-344.303,-332.764,-340.525,4.45101,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-228.094,-226.114,-227.232,0.58675,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.886,-226.244,-227.307,0.529502,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.894,-226.288,-227.242,0.503707,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-228.167,-226.372,-227.297,0.547179,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-228.115,-226.446,-227.329,0.541719,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.88,-226.444,-227.246,0.493963,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-227.798,-226.288,-227.226,0.520277,11,0,0.240512,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.888,-226.383,-227.268,0.50071,11,0,0.240512,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.47892,-3.80314,-4.6618,0.530393,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.47892,-3.80314,-4.6618,0.530393,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-9.40793,-7.4763,-8.75635,0.531103,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-9.40793,-7.4763,-8.75635,0.531103,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-7.20589,-6.18229,-6.65222,0.359587,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-7.20589,-6.18229,-6.65222,0.359587,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-10.9958,-8.39091,-9.22207,0.733483,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-10.9958,-8.39091,-9.22207,0.733483,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",297.663,301.829,299.48,1.29693,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-302.16,-295.106,-299.398,2.35816,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",297.543,302.789,300.379,1.6524,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.978,-298.431,-300.598,1.44089,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",507.593,560.419,527.755,21.3716,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-563.717,-513.15,-531.594,20.9799,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-0.819229,0.194214,-0.146671,0.307469,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-4.96901,-3.60086,-4.41162,0.456612,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",-0.260928,0.864432,0.292451,0.433332,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-8.54807,-6.09274,-7.10649,0.798644,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",720,854,769.545,44.599,11,0,0.469543,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-871,-794,-828.273,22.4637,11,0,0.469543,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.03,"ohm",0.022161,0.0227839,0.0224342,0.000180303,11,0,0.064524,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",1,1,1,0,11,0,0.064524,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.001,1,"V",0.000686646,0.00934792,0.00331289,0.00379345,11,0,0.280434,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",1.89176,1.96194,1.93133,0.0236996,11,0,0.280434,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.001,0.5,"V",0.000570297,0.00232124,0.00109447,0.000570078,11,0,0.280434,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",1.89233,1.96257,1.93189,0.0236474,11,0,0.280434,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.001,0.5,"V",0.000402451,0.00155449,0.000938589,0.000380411,11,0,0.280434,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",1.89176,1.96172,1.93121,0.0236111,11,0,0.280434,***
