Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-373.903,-365.484,-370.49,4.3705,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-430.249,-418.012,-424.751,5.86901,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.027,-365.775,-370.715,4.3087,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.292,-352.844,-358.285,4.8978,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.873,-367.71,-372.992,4.41986,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-368.393,-359.855,-364.522,4.23717,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-466.189,-442.397,-453.28,10.3613,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.035,-295.596,-298.146,1.8956,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-360.699,-355.462,-356.692,2.24964,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-343.847,-337.786,-341.566,2.91028,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.732,-338.352,-342.207,3.02209,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.997,-338.49,-342.337,2.91834,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.793,-338.545,-342.375,2.892,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-344.79,-338.165,-342.304,3.05215,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-344.81,-338.535,-342.402,2.90796,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-344.824,-338.634,-342.385,2.8704,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-344.761,-338.768,-342.293,2.78818,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-225.84,-225.348,-225.512,0.196562,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-225.92,-225.41,-225.566,0.204555,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-225.967,-225.441,-225.704,0.233196,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-225.582,-225.285,-225.426,0.141829,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-225.929,-225.208,-225.582,0.33247,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-226.009,-225.306,-225.579,0.272506,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-225.746,-225.372,-225.557,0.148577,5,0,0.170978,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-225.882,-225.285,-225.52,0.230176,5,0,0.170978,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.98673,-4.31095,-5.05236,0.777302,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.98673,-4.31095,-5.05236,0.777302,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-9.96708,-7.57796,-8.61494,1.17499,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-9.96708,-7.57796,-8.61494,1.17499,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-8.02477,-6.07993,-6.94999,0.88794,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-8.02477,-6.07993,-6.94999,0.88794,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-10.5361,-7.88014,-9.09577,1.20026,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-10.5361,-7.88014,-9.09577,1.20026,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",297.496,300.799,299.365,1.49037,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-304.08,-296.324,-300.158,2.99886,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",299.628,304.222,300.795,1.92802,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-301.676,-298.882,-300.445,1.17121,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",504.667,546.712,526.095,19.4697,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-549.65,-509.711,-529.989,18.5178,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-0.61654,-0.0591465,-0.312507,0.199497,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-5.62775,-4.15826,-4.79673,0.672815,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",0.0971407,0.813279,0.434749,0.283886,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-9.21305,-6.50196,-7.6887,1.35308,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",694,762,724.6,31.5563,5,0,0.438496,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-823,-775,-797.6,20.4524,5,0,0.438496,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5",90040,"Parametric","",0.04,0.08,"ohm",0.0565042,0.0578354,0.0570963,0.000546309,5,0,0.0466668,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",1,1,1,0,5,0,0.0466668,***
