Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.098,-375.098,-375.098,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-431.274,-431.274,-431.274,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-375.678,-375.678,-375.678,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.634,-362.634,-362.634,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.93,-376.93,-376.93,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.873,-369.873,-369.873,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-458.676,-458.676,-458.676,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.808,-299.808,-299.808,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-377.716,-377.716,-377.716,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-337.597,-337.597,-337.597,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-338.301,-338.301,-338.301,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-338.12,-338.12,-338.12,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-338.423,-338.423,-338.423,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-338.337,-338.337,-338.337,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-338.408,-338.408,-338.408,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-338.642,-338.642,-338.642,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-338.316,-338.316,-338.316,0,1,0,1.19494,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-229.162,-229.162,-229.162,0,1,0,1.19494,***
