Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-374.871,-374.871,-374.871,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-430.989,-430.989,-430.989,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-375.507,-375.507,-375.507,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.406,-362.406,-362.406,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.646,-376.646,-376.646,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.588,-369.588,-369.588,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-458.278,-458.278,-458.278,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.58,-299.58,-299.58,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-376.749,-376.749,-376.749,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-337.2,-337.2,-337.2,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-338.076,-338.076,-338.076,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-338.213,-338.213,-338.213,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-338.192,-338.192,-338.192,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-338.123,-338.123,-338.123,0,1,0,1.29248,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-337.973,-337.973,-337.973,0,1,0,1.29248,***
