Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-500,"<=",-371.457,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-427.574,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-500,"<=",-371.523,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-500,"<=",-359.39,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-374.198,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-500,"<=",-365.547,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-500,"<=",-457.765,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-297.588,"mV","<=",-200,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-500,"<=",-367.528,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-360,"<=",-343.611,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-360,"<=",-344.093,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-360,"<=",-344.082,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1","","",-360,"<=",-344.133,"mV","<=",-300,"P",0.147876,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1","","",-360,"<=",-344.103,"mV","<=",-300,"P",0.147876,***,"",
