Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.897,-368.385,-368.641,0.362041,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-431.9,-422.964,-427.432,6.31851,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-369.303,-368.45,-368.876,0.603711,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-356.885,-355.292,-356.088,1.12686,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-371.352,-369.873,-370.612,1.0464,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-362.872,-362.815,-362.843,0.0402502,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-462.148,-454.692,-458.42,5.27242,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-296.393,-294.571,-295.482,1.28788,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-367.244,-352.674,-359.959,10.3028,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.289,-340.528,-341.409,1.24485,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-342.564,-341.553,-342.058,0.714811,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-342.794,-340.969,-341.882,1.29071,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-342.661,-341.125,-341.893,1.0857,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-342.432,-340.954,-341.693,1.04524,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-342.796,-340.952,-341.874,1.30419,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-342.567,-341.253,-341.91,0.929254,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-342.655,-340.889,-341.772,1.2489,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.411,-226.11,-226.761,0.919813,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.375,-226.469,-226.922,0.640632,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.383,-226.505,-226.944,0.620402,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-227.512,-226.334,-226.923,0.833496,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-227.329,-226.17,-226.749,0.820009,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.308,-226.194,-226.751,0.78764,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-227.526,-226.364,-226.945,0.821358,2,0,0.713151,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.44,-226.29,-226.865,0.813266,2,0,0.713151,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.12345,-4.7172,-4.92033,0.287263,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.12345,-4.7172,-4.92033,0.287263,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-10.8312,-9.45876,-10.145,0.970485,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-10.8312,-9.45876,-10.145,0.970485,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-7.66651,-7.20589,-7.4362,0.325708,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-7.66651,-7.20589,-7.4362,0.325708,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-10.3318,-9.3103,-9.82107,0.72234,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-10.3318,-9.3103,-9.82107,0.72234,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",297.841,300.352,299.096,1.77498,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-303.629,-299.071,-301.35,3.22327,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",298.834,299.795,299.315,0.679124,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.032,-300.988,-301.51,0.73829,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",503.486,513.446,508.466,7.04225,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-516.179,-506.939,-511.559,6.53404,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",0.09287,0.498247,0.295559,0.286645,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-5.27305,-4.66498,-4.96901,0.429968,2,0,0.703756,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",0.608668,1.01789,0.813279,0.289364,2,0,0.703756,***
