Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-374.017,-368.613,-371.215,2.71579,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-431.217,-419.492,-424.828,5.47107,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.198,-369.303,-371.708,2.47763,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.235,-355.576,-358.849,3.5618,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.02,-370.157,-373.245,3.1834,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-368.279,-362.701,-365.433,2.5787,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-461.693,-442.568,-451.092,8.70097,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.352,-296.051,-297.659,1.57484,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-373.22,-356.544,-360.812,8.27227,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-344.616,-337.856,-342.763,3.27501,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.902,-338.844,-343.292,2.96713,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.203,-338.839,-343.482,3.09861,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.154,-338.997,-343.547,3.03499,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.242,-338.888,-343.57,3.1246,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-345.243,-338.514,-343.331,3.2192,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-345.238,-338.936,-343.434,3.00803,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-345.144,-338.776,-343.486,3.1408,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.018,-225.941,-226.398,0.457704,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-226.77,-225.986,-226.366,0.358992,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-226.921,-226.135,-226.469,0.333,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-226.86,-225.952,-226.457,0.381092,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-227.043,-226.004,-226.459,0.443568,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-226.486,-225.809,-226.285,0.318717,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-226.778,-226.234,-226.467,0.260087,4,0,0.420944,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-226.931,-226.162,-226.426,0.347882,4,0,0.420944,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.37736,-4.20939,-4.65373,0.544371,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.37736,-4.20939,-4.65373,0.544371,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-9.30626,-8.08629,-8.62003,0.583281,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-9.30626,-8.08629,-8.62003,0.583281,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-7.46179,-6.28465,-6.78366,0.493341,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-7.46179,-6.28465,-6.78366,0.493341,4,0,0.561991,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-9.76999,-8.54414,-9.1443,0.534686,4,0,0.561991,***
