Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-367.987,"mV","P",0.667943,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-428.257,"mV","P",0.667943,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-368.279,"mV","P",0.667943,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-354.153,"mV","P",0.667943,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-369.019,"mV","P",0.667943,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-362.075,"mV","P",0.667943,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-459.359,"mV","P",0.667943,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-295.368,"mV","P",0.667943,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-367.187,"mV","P",0.667943,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-342.918,"mV","P",0.667943,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-343.153,"mV","P",0.667943,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-343.33,"mV","P",0.667943,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-343.121,"mV","P",0.667943,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-343.204,"mV","P",0.667943,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-342.871,"mV","P",0.667943,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-343.422,"mV","P",0.667943,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-343.204,"mV","P",0.667943,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-227.84,"mV","P",0.667943,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-227.608,"mV","P",0.667943,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-227.587,"mV","P",0.667943,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-227.638,"mV","P",0.667943,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-227.957,"mV","P",0.667943,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-227.663,"mV","P",0.667943,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-227.537,"mV","P",0.667943,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-227.592,"mV","P",0.667943,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-4.97111,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-4.97111,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-9.66209,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-9.66209,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,-7.66651,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,-7.66651,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,-10.1786,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,-10.1786,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,302.742,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,-298.467,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,300.148,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,-300.137,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,498.712,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,-503.14,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,0.09287,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,-5.12103,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,0.608668,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,-8.49691,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,764,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,-832,"nA","P",0.699923,***,""
"RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,0.02276,"ohm","P",0.205231,***,""
"DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,1,"","P",0.205231,***,""
"BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,0,"","P",0.288686,***,""
"EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,0.000413895,"V","P",0.498802,***,""
"EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,1.89046,"V","P",0.498802,***,""
"FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,0.000469208,"V","P",0.498802,***,""
"FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,1.89085,"V","P",0.498802,***,""
"EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,9.72748e-05,"V","P",0.498802,***,""
"EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,1.8904,"V","P",0.498802,***,""
"EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,4.99953,"V","P",0.498802,***,""
"EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",1,0.000714269,"V","P",0.498802,***,""
"FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",1,0.000305176,"V","P",0.498802,***,""
"FAULT_SET_OFF_HIGH",30100,"",0,1,"OFF_PS1600",1,1.93457,"V","P",0.498802,***,""
"FAULT_RESET_VOUT_HIGH",30110,"",0,1,"VOUT4",1,4.99997,"V","P",0.498802,***,""
"FAULT_RESET_OFF_LOW",30120,"",0,1,"OFF_PS1600",1,0.000771185,"V","P",0.498802,***,""
"IVDDDIS_VDD_3_VIN_3",40010,"",0,1,"VDD",1,108.436,"uA","P",0.265177,***,""
"IVINDIS_VDD_3_VIN_3",40050,"",0,1,"VIN1",1,69.8641,"uA","P",0.265177,***,""
"IOFF_VDD_3_VIN_3",40090,"",0,1,"VOUT4",1,-0.998203,"uA","P",0.265177,***,""
"IVDDDIS_VDD_3_VIN_20",40020,"",0,1,"VDD",1,112.875,"uA","P",0.265177,***,""
"IVINDIS_VDD_3_VIN_20",40060,"",0,1,"VIN1",1,92.7607,"uA","P",0.265177,***,""
"IOFF_VDD_3_VIN_20",40100,"",0,1,"VOUT4",1,-3.02124,"uA","P",0.265177,***,""
"IVINVDD0_VIN_3",40130,"",0,1,"VIN1",1,66.1695,"uA","P",0.265177,***,""
"IOFFVDD0_VIN_3",40150,"",0,1,"VOUT4",1,-1.55465,"uA","P",0.265177,***,""
"IVDDDIS_VDD_20_VIN_3",40030,"",0,1,"VDD",1,132.164,"uA","P",0.265177,***,""
"IVINDIS_VDD_20_VIN_3",40070,"",0,1,"VIN1",1,68.4196,"uA","P",0.265177,***,""
"IOFF_VDD_20_VIN_3",40110,"",0,1,"VOUT4",1,-0.48837,"uA","P",0.265177,***,""
"IVDDDIS_VDD_20_VIN_20",40040,"",0,1,"VDD",1,138.378,"uA","P",0.265177,***,""
"IVINDIS_VDD_20_VIN_20",40080,"",0,1,"VIN1",1,92.8082,"uA","P",0.265177,***,""
"IOFF_VDD_20_VIN_20",40120,"",0,1,"VOUT4",1,-0.96194,"uA","P",0.265177,***,""
"IVINVDD0_VIN_20",40140,"",0,1,"VIN1",1,109.679,"uA","P",0.265177,***,""
"IOFFVDD0_VIN_20",40160,"",0,1,"VOUT4",1,-2.98573,"uA","P",0.265177,***,""
"EN0V_PULLUP_RES",50010,"",0,1,"EN0_PS1600",1,201.054,"Kohm","P",0.157769,***,""
"EN1V_PULLUP_RES",50020,"",0,1,"EN0_PS1600",1,201.569,"Kohm","P",0.157769,***,""
"EN0V_Current",50030,"",0,1,"EN0_PS1600",1,-8.95281,"uA","P",0.157769,***,""
"EN1V_Current",50040,"",0,1,"EN0_PS1600",1,-3.96886,"uA","P",0.157769,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_1mA",60030,"",0,1,"VIN",1,-268.12,"mV","P",0.123148,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_10mA",60040,"",0,1,"VIN",1,-331.331,"mV","P",0.123148,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_100mA",60050,"",0,1,"VIN",1,-211.145,"mV","P",0.123148,***,""
"LEAKAGE_2V",70090,"",0,1,"OFF_PS1600",1,-0.0580667,"uA","P",0.535479,***,""
"IVDD_VDD_3_Vin_3",80001,"",0,1,"VDD",1,94.7379,"uA","P",0.658535,***,""
"IVIN_VDD_3_Vin_3",80005,"",0,1,"VIN1",1,53.8495,"uA","P",0.658535,***,""
"IVDD_VDD_3_Vin_20",80010,"",0,1,"VDD",1,103.523,"uA","P",0.658535,***,""
"IVIN_VDD_3_Vin_20",80014,"",0,1,"VIN1",1,82.9091,"uA","P",0.658535,***,""
"IVDD_VDD_20_Vin_3",80011,"",0,1,"VDD",1,123.801,"uA","P",0.658535,***,""
"IVIN_VDD_20_Vin_3",80015,"",0,1,"VIN1",1,54.7506,"uA","P",0.658535,***,""
"IVDD_VDD_20_Vin_20",80012,"",0,1,"VDD",1,125.565,"uA","P",0.658535,***,""
"IVIN_VDD_20_Vin_20",80016,"",0,1,"VIN1",1,82.9622,"uA","P",0.658535,***,""
"Scan_test",330010,"_rdi_burst_SCAN_bk4_mp",0,1,"@",1,***," ","P",0.116819,***,""
"Logic_test",340010,"_rdi_burst_Logic_bk6_mp",0,1,"@",1,***," ","F",0.349371,***,""
"CONTINUITY",10030,"",0,1,"EN0_PS1600",2,-367.93,"mV","P",0.667943,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",2,-428.485,"mV","P",0.667943,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",2,-368.279,"mV","P",0.667943,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",2,-354.096,"mV","P",0.667943,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",2,-368.962,"mV","P",0.667943,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",2,-362.018,"mV","P",0.667943,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",2,-459.473,"mV","P",0.667943,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",2,-295.368,"mV","P",0.667943,***,""
