Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-367.987,-367.93,-367.959,0.0402292,563.095,1094.08,563.095,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.485,-428.257,-428.371,0.16098,148.319,148.319,265.812,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-368.279,-368.279,-368.279,0,***,***,***,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-354.153,-354.096,-354.125,0.0402502,448.237,1208.07,448.237,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-369.019,-368.962,-368.99,0.0402502,571.345,1084.96,571.345,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-362.075,-362.018,-362.046,0.0402502,513.839,1142.47,513.839,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-459.473,-459.359,-459.416,0.0804794,168.092,168.092,660.277,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-295.368,-295.368,-295.368,0,***,***,***,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-367.187,-353.357,-360.272,9.77961,2.05433,4.76257,2.05433,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.978,-342.918,-342.948,0.0418097,135.95,135.95,342.408,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-343.153,-343.065,-343.109,0.0620402,90.7523,90.7523,231.619,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.33,-343.063,-343.197,0.188818,29.6637,29.6637,76.2584,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-343.138,-343.121,-343.129,0.0121383,463.295,463.295,1184.38,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-343.204,-342.949,-343.077,0.180726,31.2136,31.2136,79.4514,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-342.871,-342.834,-342.853,0.0256253,223.053,223.053,557.426,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-343.422,-343.111,-343.266,0.219838,25.3725,25.3725,65.6036,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-343.204,-343.048,-343.126,0.110593,50.8581,50.8581,129.985,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.84,-227.486,-227.663,0.250858,36.7579,96.1194,36.7579,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-227.608,-227.562,-227.585,0.0323688,284.068,745.731,284.068,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.587,-227.522,-227.554,0.0458558,200.297,526.62,200.297,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-227.638,-227.631,-227.634,0.0053948,1707.47,4471.32,1707.47,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-227.957,-227.594,-227.776,0.256253,36.1304,93.9494,36.1304,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.728,-227.663,-227.695,0.0458558,201.323,525.594,201.323,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-227.575,-227.537,-227.556,0.026974,340.528,895.23,340.528,2,0,0,0.667943,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.831,-227.592,-227.712,0.168587,54.7919,142.929,54.7919,2,0,0,0.667943,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.07267,-4.97111,-5.02189,0.0718154,904.997,904.997,951.615,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.07267,-4.97111,-5.02189,0.0718154,904.997,904.997,951.615,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-10.1704,-9.66209,-9.91625,0.359439,176.278,176.278,194.67,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-10.1704,-9.66209,-9.91625,0.359439,176.278,176.278,194.67,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-7.66651,-7.66651,-7.66651,0,***,***,***,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-7.66651,-7.66651,-7.66651,0,***,***,***,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-10.1786,-10.1786,-10.1786,0,***,***,***,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-10.1786,-10.1786,-10.1786,0,***,***,***,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",302.138,302.742,302.44,0.427025,154.214,228.277,154.214,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-298.467,-297.947,-298.207,0.367859,182.854,182.854,261.157,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",296.892,300.148,298.52,2.30233,29.1704,41.7721,29.1704,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-300.137,-299.249,-299.693,0.627675,106.375,106.375,153.844,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",498.661,498.712,498.687,0.0362955,1824.71,1824.71,1848.84,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-503.345,-503.14,-503.242,0.145182,451.749,451.749,466.638,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-0.36318,0.09287,-0.135155,0.322476,206.594,206.594,206.874,2,0,0,0.699923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-5.47574,-5.12103,-5.29838,0.250814,258.759,258.759,272.842,2,0,0,0.699923,***
