Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1049",0,1,1,"1",1,61861,""
2,"1068",0,1,1,"1",1,57126,""
3,"1087",0,1,1,"1",1,58354,""
4,"1106",0,1,1,"1",1,57259,""
5,"1125",0,1,1,"1",1,58162,""
6,"1144",0,1,1,"1",1,58079,""
7,"1163",0,1,1,"1",1,58197,""
8,"1182",0,1,1,"1",1,58150,""
9,"1201",0,1,1,"1",1,58096,""
10,"1220",0,1,1,"1",1,57785,""
11,"1239",0,1,1,"1",1,57955,""
12,"1258",0,1,1,"1",1,58141,""
13,"1277",0,1,1,"1",1,57615,""
14,"1296",0,1,1,"1",1,57151,""
15,"1315",0,1,1,"1",1,58594,""
16,"1334",0,1,1,"1",1,57953,""
17,"1353",0,1,1,"1",1,58072,""
18,"1372",0,1,1,"1",1,58467,""
19,"1391",0,1,1,"1",1,58732,""
20,"1410",0,1,0,"6",2,27446,""
21,"1429",0,1,1,"1",1,57823,""
22,"1448",0,1,0,"6",2,27618,""
23,"1467",0,1,1,"1",1,58192,""
24,"1486",0,1,1,"1",1,58000,""
25,"1505",0,1,1,"1",1,57991,""
26,"1487",0,1,1,"1",1,57836,""
27,"1506",0,1,1,"1",1,57787,""
28,"1335",0,1,1,"1",1,58254,""
29,"1354",0,1,1,"1",1,58037,""
30,"1373",0,1,1,"1",1,58276,""
31,"1392",0,1,1,"1",1,58224,""
32,"1411",0,1,0,"8",4,11466,""
33,"1430",0,1,1,"1",1,58298,""
34,"1449",0,1,1,"1",1,58480,""
35,"1468",0,1,1,"1",1,57493,""
36,"1202",0,1,1,"1",1,57770,""
37,"1183",0,1,1,"1",1,58427,""
38,"1221",0,1,1,"1",1,58336,""
39,"1240",0,1,1,"1",1,57954,""
40,"1259",0,1,1,"1",1,58248,""
41,"1278",0,1,1,"1",1,58384,""
42,"1297",0,1,1,"1",1,58011,""
43,"1316",0,1,1,"1",1,58306,""
44,"1031",0,1,1,"1",1,57243,""
45,"1050",0,1,1,"1",1,58375,""
46,"1069",0,1,1,"1",1,57578,""
47,"1088",0,1,1,"1",1,58604,""
48,"1107",0,1,1,"1",1,58232,""
49,"1126",0,1,1,"1",1,58272,""
50,"1145",0,1,1,"1",1,58268,""
51,"1164",0,1,1,"1",1,58136,""
52,"0879",0,1,1,"1",1,58195,""
53,"898",0,1,0,"18",2,39402,""
54,"917",0,1,1,"1",1,58309,""
55,"936",0,1,1,"1",1,58543,""
56,"955",0,1,1,"1",1,58111,""
57,"974",0,1,1,"1",1,58211,""
58,"993",0,1,1,"1",1,58461,""
59,"10012",0,1,1,"1",1,57961,""
60,"766",0,1,1,"1",1,58475,""
61,"767",0,1,1,"1",1,24287,""
62,"767",0,1,0,"18",2,39790,""
63,"765",0,1,0,"5",3,630,""
64,"784",0,1,0,"18",2,39467,""
65,"803",0,1,0,"18",2,39774,""
66,"803",0,1,0,"18",2,5507,""
67,"822",0,1,0,"18",2,39911,""
68,"822",0,1,0,"18",2,5481,""
69,"841",0,1,1,"1",1,57928,""
70,"860",0,1,0,"18",2,38853,""
71,"804",0,1,1,"1",1,58224,""
72,"823",0,1,1,"1",1,58294,""
73,"842",0,1,1,"1",1,58125,""
74,"861",0,1,1,"1",1,57292,""
75,"880",0,1,1,"1",1,58217,""
76,"899",0,1,1,"1",1,58275,""
77,"918",0,1,1,"1",1,57775,""
78,"937",0,1,1,"1",1,58489,""
79,"956",0,1,1,"1",1,58100,""
80,"975",0,1,1,"1",1,57732,""
81,"994",0,1,1,"1",1,58218,""
82,"1013",0,1,0,"6",2,27180,""
83,"1032",0,1,1,"1",1,58144,""
84,"1051",0,1,1,"1",1,58333,""
85,"1070",0,1,1,"1",1,58030,""
86,"1089",0,1,1,"1",1,58082,""
87,"1108",0,1,1,"1",1,58115,""
88,"1127",0,1,1,"1",1,58446,""
89,"1146",0,1,1,"1",1,57968,""
90,"1165",0,1,1,"1",1,58127,""
91,"1184",0,1,1,"1",1,58118,""
92,"1203",0,1,0,"3",3,183,""
93,"1203",0,1,0,"3",3,184,""
94,"1203",0,1,0,"3",3,187,""
95,"1222",0,1,1,"1",1,58028,""
96,"1241",0,1,1,"1",1,57672,""
97,"1260",0,1,1,"1",1,58145,""
98,"1298",0,1,1,"1",1,57778,""
99,"1317",0,1,1,"1",1,58300,""
100,"1336",0,1,1,"1",1,58271,""
101,"1355",0,1,1,"1",1,58181,""
102,"1374",0,1,1,"1",1,57974,""
103,"1393",0,1,1,"1",1,58117,""
104,"1412",0,1,1,"1",1,58407,""
105,"1431",0,1,0,"65535",65535,704,""
