Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-302.905,-280.832,-292.256,8.59421,1,4,0.513351,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-335.314,-310.044,-321.746,10.0233,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-302.995,-281.139,-292.522,8.57467,1,4,0.513351,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-287.107,-263.373,-275.417,8.9762,0,5,0.513351,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-304.978,-284.147,-294.847,8.07247,1,4,0.513351,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-297.295,-276.236,-286.663,8.44062,0,5,0.513351,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-366.856,-329.86,-346.093,14.1452,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-232.07,-205.433,-218.854,10.4706,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-318.012,-297.693,-305.889,7.52199,4,1,0.513351,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-201.95,-126.686,-170.903,33.1465,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0211933,0.383589,0.175476,0.143058,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-202.442,-126.844,-171.152,33.2326,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.171662,0.678169,0.41665,0.216859,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-202.486,-126.68,-171.159,33.2721,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.00847778,0.570086,0.336965,0.229685,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-202.213,-126.48,-171.081,33.3077,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.400543,0.741747,0.563304,0.160879,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-202.274,-126.606,-171.088,33.2323,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0233122,0.483196,0.3056,0.180968,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-202.421,-126.732,-171.079,33.187,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0339078,0.924004,0.550164,0.367148,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-202.633,-126.577,-171.077,33.2666,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.02755,0.502269,0.3056,0.192151,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-202.391,-126.562,-171.04,33.2898,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.08901,0.430213,0.328912,0.146907,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-141.788,-86.8435,-117.244,21.4552,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0466244,0.620948,0.338236,0.244685,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-141.764,-86.8378,-117.272,21.4563,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.192854,0.574323,0.369178,0.164154,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-142.092,-86.8111,-117.35,21.5768,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.0190733,0.536177,0.288645,0.210324,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-142.044,-86.7214,-117.329,21.5141,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.108083,0.46624,0.32001,0.148719,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-142.096,-86.8187,-117.406,21.5558,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.207689,0.720553,0.432756,0.210259,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-141.911,-86.5498,-117.225,21.6157,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.222524,0.682407,0.454373,0.179743,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-141.655,-86.6623,-117.146,21.5091,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.00635778,0.832876,0.308143,0.339424,5,0,0.513351,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-141.737,-87.2231,-117.353,21.2804,0,5,0.513351,***
"CONTINUITY","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.163184,0.519222,0.316196,0.138634,5,0,0.513351,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-447.428,-221.049,-322.955,95.1017,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-447.428,-221.049,-322.955,95.1017,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-455.361,-280.496,-363.689,82.9682,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-455.361,-280.496,-363.689,82.9682,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-620.801,-349.967,-480.778,127.182,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-620.801,-349.967,-480.778,127.182,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-532.267,-322.402,-423.039,100.905,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-532.267,-322.402,-423.039,100.905,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",298.158,301.854,300.512,1.5074,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-302.811,-297.685,-300.451,2.43199,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",298.314,303.298,301.399,2.00932,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.622,-300.101,-301.836,1.1316,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",526.455,567.627,548.776,18.3114,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-940.055,-748.723,-837.977,84.2173,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",11.887,27.6959,19.305,7.2828,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-408.156,-207.201,-302.794,92.9467,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",55.0448,108.193,85.5012,23.3089,5,0,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-709.277,-345.682,-516.911,155.018,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",2837,2856,2849.8,7.59607,0,5,0.555128,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-2824,-2804,-2817.4,8.04985,0,5,0.555128,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.03,"ohm",0.0297944,0.0313878,0.0306173,0.000672292,1,4,0.112818,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",0,1,0.2,0.447214,1,4,0.112818,***
"RON_DIFF_LOAD_CURRENT","RON_200mA_VDD5",650100,"Parametric","",0.01,0.03,"ohm",0.0302839,4.22656,0.870185,1.87627,0,5,0.119384,***
"RON_DIFF_LOAD_CURRENT","RON_500mA_VDD5",650110,"Parametric","",0.01,0.03,"ohm",0.0303631,2.54058,0.532946,1.1223,0,5,0.119384,***
"RON_DIFF_LOAD_CURRENT","RON_FL_VDD5",650120,"Parametric","",0.01,0.03,"ohm",0.029975,0.321002,0.0887758,0.12982,1,4,0.119384,***
"Fuse_Burn_Check","BANKA_BIT5_BLOWN_TRUE",1000001,"Parametric","",0,1,"",1,1,1,0,5,0,0.198312,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.001,1,"V",0.658226,1.47875,1.2335,0.334338,1,4,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",1.70976,1.73583,1.72733,0.0104157,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.001,0.5,"V",4.99216,4.99873,4.9961,0.00276921,0,5,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",1.71073,1.73697,1.72827,0.0104444,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.001,0.5,"V",4.9934,4.9977,4.99607,0.00173147,0,5,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",1.70993,1.736,1.72744,0.0104181,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_VOUT_HIGH",30070,"Parametric","",4.85,5.1,"V",4.99961,5.00011,4.99992,0.000209694,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_OFF_LOW",30080,"Parametric","",-0.001,0.5,"V",0.000828,0.000885,0.0008622,3.12202e-05,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_VOUT_LOW",30090,"Parametric","",-0.001,0.5,"V",-0.000171661,0.00471497,0.00128593,0.00196625,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_OFF_HIGH",30100,"Parametric","",1.6,2.3,"V",1.75649,1.78387,1.77433,0.0105129,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_VOUT_HIGH",30110,"Parametric","",4.85,5.1,"V",4.99997,5.00052,5.00027,0.000215377,5,0,0.399467,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_OFF_LOW",30120,"Parametric","",0,0.5,"V",0.000884996,0.000941912,0.000896379,2.54533e-05,5,0,0.399467,***
"EN_pullup_resistor","EN0V_PULLUP_RES",50010,"Parametric","",155,230,"Kohm",180.265,196.744,188.572,7.6091,5,0,0.0848832,***
"EN_pullup_resistor","EN1V_PULLUP_RES",50020,"Parametric","",155,230,"Kohm",180.999,198.396,189.747,7.91089,5,0,0.0848832,***
"EN_pullup_resistor","EN0V_Current",50030,"Parametric","",-11,-7,"uA",-9.9853,-9.14895,-9.55795,0.387883,5,0,0.0848832,***
"EN_pullup_resistor","EN1V_Current",50040,"Parametric","",-5.5,-3,"uA",-4.41992,-4.03234,-4.22205,0.177216,5,0,0.0848832,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVDD_VDD_5V_VIN_5V_LOAD_8A",860160,"Parametric","",0,200,"uA",172.469,196.531,189.875,9.91459,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVIN_VDD_5V_VIN_5V_LOAD_8A",860170,"Parametric","",1,2,"mA",1.59072,1.65809,1.63758,0.0275154,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","LOAD_CURRENT_READBACK_VDD_5V_VIN_5V_LOAD_8A",860180,"Parametric","",7.5,8.1,"A",7.99913,7.99983,7.99963,0.000287285,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVDD_VDD_5V_VIN_12V_LOAD_8A",860340,"Parametric","",0,200,"uA",171.029,195.824,188.953,10.23,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVIN_VDD_5V_VIN_12V_LOAD_8A",860350,"Parametric","",1,2,"mA",1.55961,1.6073,1.58225,0.0186086,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","LOAD_CURRENT_READBACK_VDD_5V_VIN_12V_LOAD_8A",860360,"Parametric","",7.5,8.1,"A",8.00005,8.00072,8.00041,0.000286336,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVDD_VDD_5V_VIN_20V_LOAD_8A",860520,"Parametric","",0,200,"uA",171.547,196.319,189.358,10.1437,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVIN_VDD_5V_VIN_20V_LOAD_8A",860530,"Parametric","",1,2,"mA",1.63443,1.7026,1.67086,0.0246001,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","LOAD_CURRENT_READBACK_VDD_5V_VIN_20V_LOAD_8A",860540,"Parametric","",7.5,8.1,"A",7.99775,7.99943,7.99888,0.000682589,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVDD_VDD_12V_VIN_5V_LOAD_8A",860700,"Parametric","",0,200,"uA",183.922,210.316,202.703,10.7608,1,4,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","IVIN_VDD_12V_VIN_5V_LOAD_8A",860710,"Parametric","",1,2,"mA",1.53129,1.62821,1.58211,0.0410482,5,0,0.336072,***
"Output_enabled_Leakage_IVDDFL_IVINFL","LOAD_CURRENT_READBACK_VDD_12V_VIN_5V_LOAD_8A",860720,"Parametric","",7.5,8.1,"A",7.99952,8.00093,8.00007,0.000576066,5,0,0.336072,***
