Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-431.817,-410.597,-421.065,8.93301,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-523.021,-499.401,-510.227,10.6862,1,4,0.269402,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-432.026,-410.796,-421.474,8.72694,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-422.566,-402.645,-412.116,8.76706,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-432.867,-412.719,-422.418,8.50696,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-429.396,-408.451,-418.775,8.61828,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-533.964,-506.018,-518.847,12.4584,0,5,0.269402,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-345.787,-337.705,-343.18,3.25349,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-384.546,-378.285,-380.904,2.70842,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-383.928,-372.997,-378.599,4.0547,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0678167,0.430213,0.225491,0.152666,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-384.31,-372.955,-378.881,4.20698,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.00423889,1.09143,0.463698,0.459353,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-384.325,-373.508,-378.872,4.0582,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.11656,0.58492,0.375536,0.202623,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-384.132,-373.285,-378.88,4.03686,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.214047,0.616709,0.390794,0.203039,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-384.501,-373.125,-378.942,4.22042,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.256432,0.620948,0.368754,0.144531,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-384.348,-373.316,-378.974,4.05368,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.08689,1.07659,0.685798,0.362593,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-383.932,-373.013,-378.65,4.07193,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.135633,0.67393,0.315348,0.215617,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-384.13,-373.608,-378.916,3.89826,0,5,0.269402,***
"CONTINUITY","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.218284,0.938839,0.493367,0.269617,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-293.585,-280.888,-289.373,5.29781,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0635789,0.421736,0.193278,0.151934,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-293.653,-281.197,-289.487,5.27847,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.131396,0.76082,0.439962,0.273003,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-293.613,-281.143,-289.471,5.30453,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.148349,0.856188,0.477261,0.307359,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-293.89,-281.115,-289.463,5.40837,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.150469,0.864664,0.54423,0.311888,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-293.905,-281.221,-289.466,5.28564,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.510746,1.09143,0.746833,0.238509,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-293.821,-281.185,-289.442,5.25826,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.0211922,0.396304,0.152588,0.147164,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-293.56,-281.164,-289.414,5.24011,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.288221,0.695123,0.464545,0.146869,5,0,0.269402,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-293.793,-280.869,-289.491,5.45979,5,0,0.269402,***
"CONTINUITY","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.271268,0.756582,0.592126,0.187939,5,0,0.269402,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-1.17066,-0.510521,-0.916763,0.261407,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-1.17066,-0.510521,-0.916763,0.261407,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-1.01699,-0.711997,-0.833996,0.117026,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-1.01699,-0.711997,-0.833996,0.117026,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-0.420193,-0.164302,-0.317837,0.108565,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-0.420193,-0.164302,-0.317837,0.108565,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-1.24581,-0.683993,-1.0313,0.256392,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-1.24581,-0.683993,-1.0313,0.256392,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",296.772,303.819,300.076,3.26708,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-300.741,-297.685,-299.677,1.20726,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",299.344,303.702,301.118,1.99579,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.589,-300.326,-301.404,1.00288,5,0,0.423767,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",512.543,560.081,535.768,22.3931,5,0,0.423767,***
