Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-700,-300,"mV",-365.768,-365.768,-365.768,0,0.421695,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-700,-300,"mV",-422.053,-422.053,-422.053,0,0.421695,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-700,-300,"mV",-365.661,-365.661,-365.661,0,0.421695,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-700,-300,"mV",-353.072,-353.072,-353.072,0,0.421695,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-700,-300,"mV",-368.45,-368.45,-368.45,0,0.421695,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-700,-300,"mV",-359.4,-359.4,-359.4,0,0.421695,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-700,-300,"mV",-446.609,-446.609,-446.609,0,0.421695,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-700,-200,"mV",-290.018,-290.018,-290.018,0,0.421695,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-700,-300,"mV",-347.324,-347.324,-347.324,0,0.421695,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-700,-120,"mV",-336.359,-336.359,-336.359,0,0.421695,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-700,-120,"mV",-336.164,-336.164,-336.164,0,0.421695,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-700,-120,"mV",-336.622,-336.622,-336.622,0,0.421695,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-700,-120,"mV",-336.655,-336.655,-336.655,0,0.421695,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-700,-120,"mV",-336.494,-336.494,-336.494,0,0.421695,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-700,-120,"mV",-336.494,-336.494,-336.494,0,0.421695,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-700,-120,"mV",-336.523,-336.523,-336.523,0,0.421695,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-700,-120,"mV",-336.403,-336.403,-336.403,0,0.421695,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-700,-100,"mV",-217.262,-217.262,-217.262,0,0.421695,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-700,-120,"mV",-217.23,-217.23,-217.23,0,0.421695,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-700,-120,"mV",-216.803,-216.803,-216.803,0,0.421695,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-700,-120,"mV",-216.909,-216.909,-216.909,0,0.421695,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-700,-120,"mV",-216.703,-216.703,-216.703,0,0.421695,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-700,-120,"mV",-216.883,-216.883,-216.883,0,0.421695,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-700,-120,"mV",-217.009,-217.009,-217.009,0,0.421695,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-700,-120,"mV",-216.753,-216.753,-216.753,0,0.421695,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-9999,9999,"nA",-0.30344,852,198.709,293.916,0.305897,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"Parametric","",-9999,9999,"nA",-521.21,-6.79321,-131.514,192.542,0.305897,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20011,"Parametric","",-9999,9999,"nA",-957,-957,-957,0,0.305897,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.7,0.7,"V",0.000667572,0.000667572,0.000667572,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.1,6,"V",1.90269,1.90269,1.90269,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.7,0.7,"V",0.00187111,0.00187111,0.00187111,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.1,6,"V",1.90338,1.90338,1.90338,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.7,0.7,"V",0.00152397,0.00152397,0.00152397,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.1,6,"V",1.90247,1.90247,1.90247,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_VOUT_HIGH",30070,"Parametric","",4,6,"V",4.99969,4.99969,4.99969,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_OFF_LOW",30080,"Parametric","",0,0.7,"V",0.000714269,0.000714269,0.000714269,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_VOUT_LOW",30090,"Parametric","",-0.7,0.7,"V",0.000152588,0.000152588,0.000152588,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_OFF_HIGH",30100,"Parametric","",1.1,6,"V",1.94754,1.94754,1.94754,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_VOUT_HIGH",30110,"Parametric","",4,6,"V",5.00005,5.00005,5.00005,0,0.371496,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_OFF_LOW",30120,"Parametric","",0,0.7,"V",0.000771185,0.000771185,0.000771185,0,0.371496,***
"Output_disabled_leakage_debug","IVDDDIS_VDD_3_VIN_3",800010,"Parametric","",-10,450,"uA",113.835,113.835,113.835,0,0.189421,***
"Output_disabled_leakage_debug","IVINDIS_VDD_3_VIN_3",800050,"Parametric","",-10,450,"uA",70.041,70.041,70.041,0,0.189421,***
"Output_disabled_leakage_debug","IOFF_VDD_3_VIN_3",800090,"Parametric","",-10,450,"uA",-0.015539,-0.015539,-0.015539,0,0.189421,***
