Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-2000.02,-2000.02,-2000.02,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",10022.9,10022.9,10022.9,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-1999.91,-1999.91,-1999.91,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",9723.46,9723.46,9723.46,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-1999.78,-1999.78,-1999.78,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",9708.14,9708.14,9708.14,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-2000.02,-2000.02,-2000.02,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",2738.01,2738.01,2738.01,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-2000.04,-2000.04,-2000.04,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",2723.75,2723.75,2723.75,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-2000.14,-2000.14,-2000.14,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",2703.9,2703.9,2703.9,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-60,"mV",-1999.88,-1999.88,-1999.88,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",2856.07,2856.07,2856.07,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-400,-60,"mV",-2000.11,-2000.11,-2000.11,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",6322.69,6322.69,6322.69,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-30,"mV",-211.742,-211.742,-211.742,0,***,***,***,***,1,1,100,0,0,0,1.4572,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",6243.45,6243.45,6243.45,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-30,"mV",-2000.08,-2000.08,-2000.08,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",2882.33,2882.33,2882.33,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-30,"mV",-1999.97,-1999.97,-1999.97,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",2853.59,2853.59,2853.59,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-30,"mV",-1999.97,-1999.97,-1999.97,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",2861.73,2861.73,2861.73,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-30,"mV",-1999.92,-1999.92,-1999.92,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",2754.14,2754.14,2754.14,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-30,"mV",-2000.02,-2000.02,-2000.02,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",9696.25,9696.25,9696.25,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-30,"mV",-2000.18,-2000.18,-2000.18,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",9786.48,9786.48,9786.48,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-30,"mV",-2000.09,-2000.09,-2000.09,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",9735.47,9735.47,9735.47,0,***,***,***,***,1,0,0,1,100,0,1.4572,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-1500,200,"nA",-0.713642,-0.713642,-0.713642,0,***,***,***,***,1,1,100,0,0,0,0.81777,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-1500,200,"nA",-0.713642,-0.713642,-0.713642,0,***,***,***,***,1,1,100,0,0,0,0.81777,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-1500,200,"nA",-0.813662,-0.813662,-0.813662,0,***,***,***,***,1,1,100,0,0,0,0.81777,***
