Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-2000,-2000,-2000,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",9724.65,9724.65,9724.65,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-2000.17,-2000.17,-2000.17,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",9749.86,9749.86,9749.86,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-2000.12,-2000.12,-2000.12,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",9595.21,9595.21,9595.21,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-2000,-2000,-2000,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",2804.67,2804.67,2804.67,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-1999.94,-1999.94,-1999.94,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",2798.01,2798.01,2798.01,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-1999.96,-1999.96,-1999.96,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",2713.93,2713.93,2713.93,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-60,"mV",-1999.88,-1999.88,-1999.88,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",2718.3,2718.3,2718.3,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-400,-60,"mV",-2000.4,-2000.4,-2000.4,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",6145.53,6145.53,6145.53,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-30,"mV",-175.175,-175.175,-175.175,0,***,***,***,***,1,1,100,0,0,0,1.41039,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",6116.4,6116.4,6116.4,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-30,"mV",-1999.82,-1999.82,-1999.82,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",2716.65,2716.65,2716.65,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-30,"mV",-2000,-2000,-2000,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",2731.59,2731.59,2731.59,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-30,"mV",-1999.97,-1999.97,-1999.97,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",2735.56,2735.56,2735.56,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-30,"mV",-2000.18,-2000.18,-2000.18,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",2699.72,2699.72,2699.72,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-30,"mV",-2000.11,-2000.11,-2000.11,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",9614.48,9614.48,9614.48,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-30,"mV",-2000.19,-2000.19,-2000.19,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",9874.48,9874.48,9874.48,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-30,"mV",-2000.16,-2000.16,-2000.16,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",10043.5,10043.5,10043.5,0,***,***,***,***,1,0,0,1,100,0,1.41039,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-1500,200,"nA",-1.0691,-1.0691,-1.0691,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-1500,200,"nA",-1.0691,-1.0691,-1.0691,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-1500,200,"nA",-0.864495,-0.864495,-0.864495,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-1500,200,"nA",-0.864495,-0.864495,-0.864495,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-1500,200,"nA",-146.073,-146.073,-146.073,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-1500,200,"nA",-146.073,-146.073,-146.073,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-1500,200,"nA",-0.581844,-0.581844,-0.581844,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-1500,200,"nA",-0.581844,-0.581844,-0.581844,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",-1500,500,"nA",-3.65759,-3.65759,-3.65759,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-1500,-10,"nA",-1.92685,-1.92685,-1.92685,0,***,***,***,***,1,0,0,1,100,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",-1500,500,"nA",298.824,298.824,298.824,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-1500,-10,"nA",-302.08,-302.08,-302.08,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",-1500,700,"nA",145.587,145.587,145.587,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-1500,-300,"nA",-56.3949,-56.3949,-56.3949,0,***,***,***,***,1,0,0,1,100,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-1500,200,"nA",-0.780353,-0.780353,-0.780353,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-1500,200,"nA",-0.774218,-0.774218,-0.774218,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-1500,250,"nA",-0.711805,-0.711805,-0.711805,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-1500,200,"nA",-1.11693,-1.11693,-1.11693,0,***,***,***,***,1,1,100,0,0,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",0.5,30,"uA",-0.035,-0.035,-0.035,0,***,***,***,***,1,0,0,1,100,0,0.800389,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-30,-0.5,"uA",-0.034,-0.034,-0.034,0,***,***,***,***,1,0,0,1,100,0,0.800389,***
"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.034,"ohm",21.5279,21.5279,21.5279,0,***,***,***,***,1,0,0,1,100,0,0.392363,***
"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",0,0,0,0,***,***,***,***,1,0,0,1,100,0,0.392363,***
"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"Parametric","",0.01,0.034,"ohm",21.5278,21.5278,21.5278,0,***,***,***,***,1,0,0,1,100,0,0.263814,***
"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"Parametric","",0.01,0.034,"ohm",8.65308,8.65308,8.65308,0,***,***,***,***,1,0,0,1,100,0,0.263814,***
"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"Parametric","",0.01,0.034,"ohm",0.891435,0.891435,0.891435,0,***,***,***,***,1,0,0,1,100,0,0.263814,***
"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"Parametric","",0,1,"",0,0,0,0,***,***,***,***,1,1,100,0,0,0,0.500239,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.3,1,"V",5.5313e-05,5.5313e-05,5.5313e-05,0,***,***,***,***,1,1,100,0,0,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",0.325472,0.325472,0.325472,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.2,0.5,"V",-8.0109e-05,-8.0109e-05,-8.0109e-05,0,***,***,***,***,1,1,100,0,0,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",4.99642,4.99642,4.99642,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.3,0.5,"V",-0.000123978,-0.000123978,-0.000123978,0,***,***,***,***,1,1,100,0,0,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",0.010845,0.010845,0.010845,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"Parametric","",4.85,5.1,"V",0.0239182,0.0239182,0.0239182,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_OFF_LOW",30080,"Parametric","",-0.001,0.5,"V",4.99568,4.99568,4.99568,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_VOUT_LOW",30090,"Parametric","",-0.001,0.5,"V",0.00353813,0.00353813,0.00353813,0,***,***,***,***,1,1,100,0,0,0,0.660441,***
"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_OFF_HIGH",30100,"Parametric","",1.6,2.3,"V",4.99681,4.99681,4.99681,0,***,***,***,***,1,0,0,1,100,0,0.660441,***
