Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1020","","",-600,"<=",-428.062,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1020","","",-600,"<=",-517.216,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1020","","",-600,"<=",-427.643,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1020","","",-600,"<=",-419.322,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1020","","",-600,"<=",-429.737,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1020","","",-600,"<=",-424.216,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1020","","",-600,"<=",-8.33553,"mV","<=",-300,"F",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1020","","",-600,"<=",-346.641,"mV","<=",-200,"P",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1020","","",-600,"<=",-7.87997,"mV","<=",-300,"F",0.283741,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1020","","",-400,"<=",-381.456,"mV","<=",-300,"P",0.283741,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1020","","",0,"<=",0.209809,"ohm","<=",20,"P",0.283741,***,"",
