Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-300,"mV",-9.9999e+07,-428.062,-9.09121e+06,3.01507e+07,1.65834e-06,-0.100502,-0.100502,0.100505,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-300,"mV",-9.9999e+07,-517.045,-9.09129e+06,3.01507e+07,1.65834e-06,-0.100503,-0.100503,0.100506,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-300,"mV",-9.9999e+07,-427.643,-9.09121e+06,3.01507e+07,1.65834e-06,-0.100502,-0.100502,0.100505,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-300,"mV",-9.9999e+07,-419.322,-9.0912e+06,3.01507e+07,1.65834e-06,-0.100502,-0.100502,0.100505,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-300,"mV",-9.9999e+07,-429.737,-9.09121e+06,3.01507e+07,1.65834e-06,-0.100502,-0.100502,0.100505,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-300,"mV",-9.9999e+07,-424.216,-9.09121e+06,3.01507e+07,1.65834e-06,-0.100502,-0.100502,0.100505,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-300,"mV",-539.599,-8.27861,-408.907,220.237,0.227028,0.164834,0.289223,0.164834,11,8,72.7,3,27.3,0,0.283741,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-200,"mV",-1390.64,-346.641,-446.625,313.114,0.212915,0.163279,0.163279,0.262551,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-300,"mV",-388.53,-7.82306,-312.486,150.779,0.33161,0.0276035,0.635617,0.0276035,11,9,81.8,2,18.2,0,0.283741,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-300,"mV",-394.073,-381.456,-390.077,4.25849,3.91375,0.776704,0.776704,7.0508,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.05722,4310.4,392.229,1299.51,0.00256507,-0.0954792,0.100609,-0.0954792,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-300,"mV",-1999.93,-381.613,-536.216,485.475,0.0343307,-0.0935278,-0.0935278,0.162189,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.271267,9724.84,884.682,2931.95,0.0011369,-0.0983058,0.10058,-0.0983058,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-300,"mV",-394.218,-0.0343323,-354.43,117.611,0.14171,0.129153,0.129153,0.154267,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.17378,0.88162,0.499571,0.198392,16.8017,0.839366,0.839366,32.7641,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-300,"mV",-394.022,-0.0972748,-354.501,117.613,0.141708,0.128951,0.128951,0.154464,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.23524,0.951556,0.633086,0.227244,14.6686,0.928645,0.928645,28.4085,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-300,"mV",-393.869,-0.265121,-354.441,117.536,0.1418,0.129207,0.129207,0.154393,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0360278,0.589159,0.278974,0.179044,18.6174,0.519378,0.519378,36.7155,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-300,"mV",-394.032,-0.135422,-354.603,117.635,0.141682,0.128639,0.128639,0.154724,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0317889,1.09355,0.607269,0.293508,11.3569,0.689669,0.689669,22.0241,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-300,"mV",-393.961,0.0114441,-354.33,117.592,0.141732,0.129458,0.129458,0.154007,11,10,90.9,1,9.1,0,0.283741,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0656978,0.667571,0.261249,0.176751,18.859,0.492688,0.492688,37.2252,11,11,100,0,0,0,0.283741,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-400,-300,"mV",-394.047,-0.0801086,-354.374,117.577,0.141751,0.129351,0.129351,0.154151,11,10,90.9,1,9.1,0,0.283741,***
