Device,Device ID,Wafer,Site,P/F,Time
1,"1898",0,1,0,786830
2,"1898",0,1,1,31124
3,"1165",0,1,1,89530
4,"1860",0,1,0,73422
5,"1860",0,1,0,31046
6,"1841",0,1,1,62076
7,"1822",0,1,1,58067
8,"2107",0,1,1,57532
9,"2088",0,1,1,57591
10,"2069",0,1,1,57556
11,"2050",0,1,1,57618
12,"2031",0,1,1,57729
13,"2012",0,1,0,58355
14,"2012",0,1,0,31081
15,"1993",0,1,1,57887
16,"1974",0,1,1,57823
17,"1688",0,1,0,58408
18,"1688",0,1,1,31058
19,"1669",0,1,1,57885
20,"1650",0,1,1,57878
21,"1631",0,1,1,57697
22,"1612",0,1,1,58238
23,"1593",0,1,1,57622
24,"1574",0,1,1,61661
25,"1555",0,1,1,58169
26,"2108",0,1,1,57724
27,"2089",0,1,1,57649
28,"2070",0,1,1,57781
29,"2051",0,1,0,59283
30,"2051",0,1,0,50400
31,"2032",0,1,1,57806
32,"2013",0,1,1,58303
33,"1842",0,1,1,58516
