Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1898","","",-500,"<=",-375.098,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1898","","",-500,"<=",-434.176,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1898","","",-500,"<=",-374.084,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1898","","",-500,"<=",-361.154,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1898","","",-500,"<=",-377.033,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1898","","",-500,"<=",-368.382,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1898","","",-500,"<=",-466.632,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1898","","",-500,"<=",-301.336,"mV","<=",-200,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1898","","",-500,"<=",-351.535,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1898","","",-360,"<=",-339.569,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1898","","",0,"<=",0.900692,"ohm","<=",20,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1898","","",-360,"<=",-339.84,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1898","","",0,"<=",0.648499,"ohm","<=",20,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1898","","",-360,"<=",-340.107,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1898","","",0,"<=",0.154707,"ohm","<=",20,"P",0.302524,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1898","","",-360,"<=",-340.155,"mV","<=",-300,"P",0.302524,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"1898","","",0,"<=",0.252193,"ohm","<=",20,"P",0.302524,***,"",
