Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.098,-360.876,-371.256,2.46647,13.5146,9.6299,17.3993,9.6299,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-434.176,-412.947,-424.728,4.80276,6.94045,5.22419,5.22419,8.65672,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.084,-361.961,-371.159,2.13875,15.5855,11.0905,20.0804,11.0905,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-361.268,-348.86,-358.031,2.35098,14.1785,8.22784,20.1291,8.22784,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-377.033,-364.341,-372.906,2.35057,14.181,10.3388,18.0231,10.3388,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-368.382,-354.95,-363.705,3.07434,10.8424,6.90716,14.7777,6.90716,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-466.632,-442.328,-451.617,6.42162,5.1908,2.51144,2.51144,7.87016,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.336,-289.725,-296.277,3.65182,13.6918,8.78806,18.5955,8.78806,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-351.535,-338.046,-340.064,2.15914,15.4383,6.18521,24.6913,6.18521,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-347.015,-333.694,-341.195,4.1594,2.4042,1.507,1.507,3.30139,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0105967,4.59247,0.613563,0.745979,4.4684,0.274164,0.274164,8.66264,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-347.42,-334.091,-341.548,4.09402,2.44258,1.50235,1.50235,3.38282,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0,0.822279,0.497773,0.215076,15.4984,0.771467,0.771467,30.2253,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-346.989,-333.761,-341.503,4.10446,2.43637,1.50215,1.50215,3.37059,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.125037,0.943079,0.508112,0.214322,15.5529,0.790262,0.790262,30.3155,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-347.435,-334.112,-341.641,4.09994,2.43906,1.49262,1.49262,3.38551,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0445044,1.01301,0.481204,0.256437,12.9987,0.625501,0.625501,25.3718,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-347.393,-333.679,-341.519,4.15957,2.4041,1.48104,1.48104,3.32715,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0805322,0.851949,0.45436,0.228563,14.5839,0.662632,0.662632,28.5051,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-347.416,-334.042,-341.612,4.07729,2.45261,1.5033,1.5033,3.40192,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.02967,1.22494,0.625508,0.290321,11.4816,0.71818,0.71818,22.2449,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-347.099,-333.864,-341.445,4.10132,2.43824,1.50809,1.50809,3.36839,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0699367,0.998179,0.521214,0.210283,15.8516,0.826208,0.826208,30.8771,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-347.464,-333.876,-341.533,4.09774,2.44037,1.50217,1.50217,3.37857,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.0233122,1.07659,0.608939,0.242981,13.7185,0.835371,0.835371,26.6016,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-226.013,-224.792,-225.572,0.333271,50.0094,25.5765,74.4422,25.5765,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0296689,0.811683,0.386286,0.212991,15.6501,0.604543,0.604543,30.6957,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-226.187,-224.943,-225.591,0.324106,51.4235,26.32,76.5271,26.32,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.00847778,0.851949,0.438305,0.240425,13.8643,0.60768,0.60768,27.121,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-226.109,-225.046,-225.587,0.260805,63.9048,32.7026,95.107,32.7026,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.108083,1.00242,0.521021,0.246433,13.5264,0.704751,0.704751,26.348,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-226.297,-225.08,-225.657,0.336372,49.5483,25.4248,73.6717,25.4248,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.197093,1.03845,0.569636,0.211528,15.7583,0.89765,0.89765,30.619,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-226.173,-224.979,-225.697,0.331798,50.2314,25.8164,74.6464,25.8164,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.167423,1.10202,0.64182,0.241575,13.7983,0.885605,0.885605,26.7111,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-226.088,-224.924,-225.572,0.30776,54.1547,27.6969,80.6125,27.6969,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.0932478,1.00242,0.459947,0.212316,15.6999,0.722112,0.722112,30.6777,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-226.24,-224.886,-225.64,0.354783,46.9771,24.0898,69.8644,24.0898,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.00847778,1.06811,0.441709,0.216833,15.3728,0.67903,0.67903,30.0666,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-226.286,-225.092,-225.656,0.33331,50.0036,25.6581,74.3491,25.6581,33,33,100,0,0,0,0.302524,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.103844,1.11898,0.565397,0.230013,14.4919,0.819369,0.819369,28.1645,33,33,100,0,0,0,0.302524,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-7.26429,-4.57294,-5.73011,0.599734,111.16,107.976,107.976,114.345,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-7.26429,-4.57294,-5.73011,0.599734,111.16,107.976,107.976,114.345,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-11.9461,-7.93026,-9.59234,0.764236,87.2331,83.0492,83.0492,91.4169,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-11.9461,-7.93026,-9.59234,0.764236,87.2331,83.0492,83.0492,91.4169,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-10.6558,-5.89625,-7.92477,0.827581,80.556,77.3641,77.3641,83.748,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-10.6558,-5.89625,-7.92477,0.827581,80.556,77.3641,77.3641,83.748,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-12.5333,-7.57905,-10.269,1.03407,64.4699,61.1597,61.1597,67.7801,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-12.5333,-7.57905,-10.269,1.03407,64.4699,61.1597,61.1597,67.7801,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",294.425,303.724,299.532,1.89262,43.1501,35.307,50.9933,35.307,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-303.688,-295.6,-300.28,2.06024,39.6395,32.3135,32.3135,46.9654,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",296.124,302.636,299.987,1.8189,44.899,36.6546,53.1434,36.6546,33,33,100,0,0,0,0.443703,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-304.79,-296.062,-300.858,1.86536,43.7806,35.5859,35.5859,51.9752,33,33,100,0,0,0,0.443703,***
