Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-600,"<=",-36.5664,"mV","<=",-200,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-600,"<=",-1406.52,"mV","<=",-150,"F",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-600,"<=",-284.887,"mV","<=",-200,"P",1.37792,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-400,"<=",-336.231,"mV","<=",-60,"P",1.37792,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1","","",0,"<=",4027.44,"ohm","<=",20,"F",1.37792,***,"",
