Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-36.5664,-36.5664,-36.5664,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-1406.52,-1406.52,-1406.52,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-284.887,-284.887,-284.887,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-336.231,-336.231,-336.231,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",4027.44,4027.44,4027.44,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-2000.09,-2000.09,-2000.09,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",9826.08,9826.08,9826.08,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-0.28801,-0.28801,-0.28801,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",4.79592,4.79592,4.79592,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",0.152588,0.152588,0.152588,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.313653,0.313653,0.313653,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-0.204086,-0.204086,-0.204086,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.455644,0.455644,0.455644,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-0.0743866,-0.0743866,-0.0743866,0,***,***,***,***,1,0,0,1,100,0,1.37792,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.283983,0.283983,0.283983,0,***,***,***,***,1,1,100,0,0,0,1.37792,***
