Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1667","","",-600,"<=",-283.392,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1667","","",-600,"<=",-309.133,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1667","","",-600,"<=",-283.586,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1667","","",-600,"<=",-265.707,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1667","","",-600,"<=",-285.798,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1667","","",-600,"<=",-277.318,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1667","","",-600,"<=",-324.225,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1667","","",-600,"<=",-206.913,"mV","<=",-150,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1667","","",-600,"<=",-306.743,"mV","<=",-200,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1667","","",-400,"<=",-75.7351,"mV","<=",-60,"P",0.827721,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1667","","",0,"<=",0.531939,"ohm","<=",20,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1667","","",-400,"<=",-75.9754,"mV","<=",-60,"P",0.827721,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1667","","",0,"<=",0,"ohm","<=",20,"P",0.827721,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1667","","",-400,"<=",-75.8018,"mV","<=",-60,"P",0.827721,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1667","","",0,"<=",0.567966,"ohm","<=",20,"P",0.827721,***,"",
