Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-359.795,-283.392,-321.594,54.0248,1.234,0.750233,1.71777,0.750233,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-405.263,-309.133,-357.198,67.9743,0.980763,0.770872,1.19065,0.770872,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-359.741,-283.586,-321.664,53.8497,1.23801,0.753107,1.72292,0.753107,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-346.925,-265.707,-306.316,57.43,1.16083,0.617075,1.70459,0.617075,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-362.577,-285.798,-324.187,54.2909,1.22795,0.762482,1.69343,0.762482,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-352.332,-277.318,-314.825,53.0433,1.25684,0.72158,1.79209,0.72158,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-432.652,-324.225,-378.439,76.6694,0.869534,0.775792,0.963276,0.775792,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-285.741,-206.913,-246.327,55.7397,1.34554,0.576053,2.11503,0.576053,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-306.743,-303.442,-305.092,2.33422,28.5606,15.0075,42.1137,15.0075,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-328.554,-75.7351,-202.145,178.77,0.316981,0.265042,0.36892,0.265042,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.425974,0.531939,0.478957,0.0749282,44.487,2.13074,2.13074,86.8434,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-328.588,-75.9754,-202.282,178.624,0.317239,0.265514,0.368964,0.265514,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0,0.472599,0.236299,0.334178,9.97473,0.235702,0.235702,19.7138,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-328.766,-75.8018,-202.284,178.873,0.316799,0.265149,0.368449,0.265149,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.567966,0.830757,0.699361,0.185821,17.9384,1.25454,1.25454,34.6222,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-328.732,-75.7732,-202.252,178.869,0.316806,0.265097,0.368516,0.265097,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.320011,0.684527,0.502269,0.257751,12.9324,0.649552,0.649552,25.2152,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-328.707,-75.7599,-202.233,178.86,0.316821,0.265073,0.368568,0.265073,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.362396,0.667572,0.514984,0.215792,15.4469,0.795492,0.795492,30.0984,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-328.882,-75.9697,-202.426,178.836,0.316864,0.265468,0.368259,0.265468,2,2,100,0,0,0,0.827721,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0127156,0.296699,0.154707,0.200807,16.5997,0.25681,0.25681,32.9426,2,2,100,0,0,0,0.827721,***
