Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.9999e+07,-9.9999e+07,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-1999.99,-1999.99,-1999.99,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",9728.94,9728.94,9728.94,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-2000.03,-2000.03,-2000.03,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",9596.77,9596.77,9596.77,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-2000.12,-2000.12,-2000.12,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",9614.98,9614.98,9614.98,0,***,***,***,***,1,0,0,1,100,0,0.524843,***
