Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1686","","",-600,"<=",-275.428,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1686","","",-600,"<=",-297.921,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1686","","",-600,"<=",-275.39,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1686","","",-600,"<=",-258.365,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1686","","",-600,"<=",-278.968,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1686","","",-600,"<=",-268.04,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1686","","",-600,"<=",-309.654,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1686","","",-600,"<=",-187.164,"mV","<=",-150,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1686","","",-600,"<=",-281.814,"mV","<=",-200,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1686","","",-400,"<=",-89.9067,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1686","","",0,"<=",0.425974,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1686","","",-400,"<=",-90.0574,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1686","","",0,"<=",0.722673,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1686","","",-400,"<=",-89.9334,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1686","","",0,"<=",0.0932478,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1686","","",-400,"<=",-89.9582,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"1686","","",0,"<=",0.281864,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1686","","",-400,"<=",-89.9048,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"1686","","",0,"<=",0.387828,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1686","","",-400,"<=",-89.9296,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"1686","","",0,"<=",0.542534,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1686","","",-400,"<=",-89.9086,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"1686","","",0,"<=",0.00423889,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1686","","",-400,"<=",-89.8342,"mV","<=",-60,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"1686","","",0,"<=",0.00847667,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1686","","",-300,"<=",-62.4161,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"1686","","",0,"<=",0.693003,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1686","","",-300,"<=",-62.4275,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"1686","","",0,"<=",0.712077,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1686","","",-300,"<=",-62.397,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"1686","","",0,"<=",0.364516,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1686","","",-300,"<=",-62.4199,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"1686","","",0,"<=",0.167422,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1686","","",-300,"<=",-62.6183,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"1686","","",0,"<=",0.279744,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1686","","",-300,"<=",-62.3512,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"1686","","",0,"<=",0.17378,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1686","","",-300,"<=",-62.4256,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"1686","","",0,"<=",0.0678167,"ohm","<=",20,"P",0.348348,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1686","","",-300,"<=",-62.3798,"mV","<=",-30,"P",0.348348,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"1686","","",0,"<=",0.112322,"ohm","<=",20,"P",0.348348,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1686","","",-1500,"<=",-623.584,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"1686","","",-1500,"<=",-623.584,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1686","","",-1500,"<=",-657.726,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"1686","","",-1500,"<=",-657.726,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"1686","","",-1500,"<=",-967.994,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"1686","","",-1500,"<=",-967.994,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"1686","","",-1500,"<=",-824.056,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"1686","","",-1500,"<=",-824.056,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"1686","","",-1500,"<=",297.208,"nA","<=",500,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"1686","","",-1500,"<=",-299.606,"nA","<=",-10,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"1686","","",-1500,"<=",303.629,"nA","<=",500,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"1686","","",-1500,"<=",-298.256,"nA","<=",-10,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"1686","","",-1500,"<=",542.164,"nA","<=",700,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"1686","","",-1500,"<=",-1139.5,"nA","<=",-300,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"1686","","",-1500,"<=",47.9636,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"1686","","",-1500,"<=",-638.297,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"1686","","",-1500,"<=",172.338,"nA","<=",250,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"1686","","",-1500,"<=",-1054.56,"nA","<=",200,"P",0.274311,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"1686","","",0.5,"<=",22.229,"uA","<=",30,"P",0.274311,***,"",
