Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-275.2,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136559,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-9.9999e+07,-297.693,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136559,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-9.9999e+07,-275.106,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136559,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-9.9999e+07,-258.251,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136558,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-9.9999e+07,-278.684,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136559,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-9.9999e+07,-267.699,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136558,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-9.9999e+07,-9.41696,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136559,13,10,76.9,3,23.1,0,0.348348,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-9.9999e+07,-186.822,-1.53846e+07,3.75529e+07,1.99718e-06,-0.136554,-0.136554,0.136558,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-9.9999e+07,-8.56296,-1.53847e+07,3.75529e+07,1.77527e-06,-0.136555,-0.136555,0.136558,13,10,76.9,3,23.1,0,0.348348,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-2000.16,-84.4898,-419.707,701.751,0.0807504,-0.00936077,-0.00936077,0.170862,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0317889,9851.46,1501.52,3664.52,0.000909622,-0.134763,0.136582,-0.134763,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-2000.13,-84.6577,-419.853,701.68,0.0807586,-0.00943107,-0.00943107,0.170948,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.428093,10095,1519.87,3709.43,0.000898611,-0.13478,0.136577,-0.13478,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-1999.88,-84.6043,-419.838,701.61,0.0807666,-0.00942497,-0.00942497,0.170958,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0932478,9917.49,1507.3,3678.16,0.00090625,-0.134786,0.136599,-0.134786,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-1999.9,-84.5661,-374.217,602.592,0.0940382,0.014262,0.014262,0.173814,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.258551,2833.33,311.734,828.434,0.00402366,-0.117384,0.125431,-0.117384,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-2001.62,-84.589,-419.905,701.967,0.0807255,-0.00945208,-0.00945208,0.170903,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0233111,2940.19,331.555,869.968,0.00383156,-0.119374,0.127037,-0.119374,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-2000.19,-84.6653,-419.929,701.708,0.0807554,-0.00946687,-0.00946687,0.170978,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.00847667,2779.76,422.224,1029.54,0.0032377,-0.130228,0.136704,-0.130228,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-60,"mV",-1999.95,-84.5242,-417.005,695.191,0.0815124,-0.00815341,-0.00815341,0.171178,13,11,84.6,2,15.4,0,0.348348,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.00423889,2808.49,431.142,1052.05,0.00316841,-0.130266,0.136603,-0.130266,13,11,84.6,2,15.4,0,0.348348,***
