Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,0,118676
2,"2",0,1,0,30735
3,"3",0,1,0,30662
4,"4",0,1,1,30621
5,"5",0,1,1,724673
6,"6",0,1,0,84881
7,"7",0,1,1,72292
8,"8",0,1,1,74199
9,"9",0,1,1,58119
10,"10",0,1,1,57264
11,"11",0,1,1,57403
12,"12",0,1,1,57528
13,"13",0,1,1,57426
14,"14",0,1,1,57486
15,"15",0,1,0,57635
16,"16",0,1,1,57932
17,"17",0,1,1,57971
18,"18",0,1,1,57687
19,"19",0,1,1,57515
20,"20",0,1,1,57321
21,"21",0,1,1,57861
22,"22",0,1,1,57901
23,"23",0,1,1,57439
24,"24",0,1,1,57961
25,"25",0,1,0,57723
