Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-371.23,-355.813,-364.888,4.80242,6.94094,4.50381,9.37807,4.50381,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.485,-401.792,-415.845,7.43718,4.48199,3.77181,3.77181,5.19216,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-371.182,-355.529,-364.9,4.78252,6.96982,4.52343,9.41621,4.52343,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-358.991,-342.543,-352.425,4.9509,6.73278,3.52969,9.93587,3.52969,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-373.163,-357.967,-367.271,4.66744,7.14167,4.80429,9.47905,4.80429,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-365.423,-349.088,-358.502,4.77259,6.98433,4.08595,9.88271,4.08595,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-461.964,-424.058,-440.643,10.1072,3.29796,1.95757,1.95757,4.63836,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.507,-292.742,-297.331,2.70822,18.4623,11.9798,24.9449,11.9798,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-356.715,-344.25,-345.136,2.45716,13.5658,6.123,21.0085,6.123,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-348.08,-339.193,-344.872,2.41493,4.14091,2.08816,2.08816,6.19366,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0296689,0.917647,0.46268,0.283067,11.7758,0.544841,0.544841,23.0067,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-348.57,-339.39,-345.26,2.39793,4.17026,2.04892,2.04892,6.2916,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0911289,1.07447,0.491672,0.242004,13.7739,0.677224,0.677224,26.8705,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-348.692,-339.38,-345.294,2.43153,4.11263,2.01601,2.01601,6.20925,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.250074,0.960032,0.609928,0.186382,17.8844,1.09082,1.09082,34.678,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-348.469,-339.464,-345.277,2.41923,4.13354,2.02861,2.02861,6.23847,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.00847778,1.07023,0.510491,0.276141,12.0711,0.61622,0.61622,23.526,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-348.398,-339.367,-345.246,2.40852,4.15193,2.04189,2.04189,6.26196,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00423778,0.811683,0.403086,0.226617,14.7091,0.592903,0.592903,28.8253,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-348.764,-340.014,-345.419,2.33025,4.29139,2.08576,2.08576,6.49703,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.23312,1.08295,0.628577,0.213646,15.6021,0.980714,0.980714,30.2235,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-348.486,-339.432,-345.187,2.37753,4.20605,2.07686,2.07686,6.33524,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.05722,0.82016,0.399526,0.215604,15.4605,0.617686,0.617686,30.3032,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-348.614,-339.512,-345.196,2.39573,4.1741,2.05982,2.05982,6.28838,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.0211922,1.17196,0.502862,0.270901,12.3046,0.618752,0.618752,23.9905,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-223.692,-222.561,-223,0.39283,42.4271,19.5167,65.3376,19.5167,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0402667,0.739627,0.392999,0.188682,17.6664,0.694287,0.694287,34.6385,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-223.768,-222.555,-223.086,0.322234,51.7223,23.8808,79.5638,23.8808,25,25,100,0,0,0,0.313086,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.02755,0.845591,0.399187,0.208011,16.0248,0.63969,0.63969,31.41,25,25,100,0,0,0,0.313086,***
