Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-500,"<=",-369.523,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-419.094,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-500,"<=",-369.19,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-500,"<=",-355.292,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-369.748,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-500,"<=",-362.52,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-500,"<=",-438.799,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-296.043,"mV","<=",-200,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-500,"<=",-348.917,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-360,"<=",-343.599,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1","","",0,"<=",0.472598,"ohm","<=",20,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-360,"<=",-343.668,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1","","",0,"<=",0.623067,"ohm","<=",20,"P",0.379926,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-360,"<=",-342.566,"mV","<=",-300,"P",0.379926,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1","","",0,"<=",4.59671,"ohm","<=",20,"P",0.379926,***,"",
