Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-370.433,-362.867,-368.158,3.01755,11.0465,7.52902,14.5639,7.52902,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-428.314,-413.232,-420.505,6.68283,4.9879,3.96512,3.96512,6.01069,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-370.328,-364.01,-368.461,2.59,12.87,8.81095,16.9291,8.81095,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-357.568,-347.039,-354.848,4.40119,7.57371,4.15401,10.9934,4.15401,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-372.935,-362.349,-370.067,4.40839,7.56134,5.298,9.82469,5.298,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-363.317,-356.601,-361.336,2.92835,11.383,6.98187,15.7841,6.98187,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-454.736,-431.571,-444.126,9.12278,3.65386,2.04154,2.04154,5.26618,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-298.775,-289.042,-296.441,4.16048,12.0179,7.72677,16.3089,7.72677,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-349.885,-339.64,-341.746,4.55073,7.32483,3.05781,11.5918,3.05781,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-346.47,-337.049,-342.047,3.55106,2.81606,1.68521,1.68521,3.94691,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.02755,0.762939,0.473446,0.279201,11.9388,0.56524,0.56524,23.3125,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-347.481,-338.171,-342.958,3.50296,2.85473,1.62167,1.62167,4.08778,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.05934,0.983344,0.524733,0.343799,9.6956,0.50876,0.50876,18.8824,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-346.26,-336.483,-341.636,3.60649,2.77278,1.69732,1.69732,3.84824,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",4.34664,4.82983,4.57382,0.19415,17.1688,7.85271,7.85271,26.4849,5,5,100,0,0,0,0.490987,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-348.539,-338.341,-343.518,3.77924,2.64604,1.45376,1.45376,3.83831,5,5,100,0,0,0,0.490987,***
